bucket,n,PICP,width,site,method,variant,horizon_min
2024-03,3802,0.9079431877958969,239.17070855170147,yulara,cqr,static,5
2024-04,3320,0.8798192771084338,144.27735984608194,yulara,cqr,static,5
2024-05,3176,0.8331234256926953,167.20386631124458,yulara,cqr,static,5
2024-06,3011,0.8246429757555629,173.6218172380776,yulara,cqr,static,5
2024-07,3172,0.7931904161412359,175.02936316924843,yulara,cqr,static,5
2024-08,2490,0.885140562248996,120.0454076146778,yulara,cqr,static,5
2024-09,3619,0.9143409781707654,187.25846638357947,yulara,cqr,static,5
2024-10,3883,0.9446304403811486,197.01423055509028,yulara,cqr,static,5
2024-11,3442,0.9378268448576409,284.1455521247812,yulara,cqr,static,5
2024-12,3888,0.9516460905349794,230.92816149632085,yulara,cqr,static,5
2024-01,3849,0.936087295401403,276.18641182972056,yulara,mondrian_cqr,static,5
2024-02,3253,0.946203504457424,164.92056696452343,yulara,mondrian_cqr,static,5
2024-03,3802,0.9050499736980536,241.6935935927179,yulara,mondrian_cqr,static,5
2024-04,3320,0.8831325301204819,144.4304910702136,yulara,mondrian_cqr,static,5
2024-05,3176,0.8321788413098237,166.98091262245683,yulara,mondrian_cqr,static,5
2024-06,3011,0.8216539355695782,173.81601989384424,yulara,mondrian_cqr,static,5
2024-07,3172,0.7957124842370744,175.17625059228877,yulara,mondrian_cqr,static,5
2024-08,2490,0.8831325301204819,118.07569037063536,yulara,mondrian_cqr,static,5
2024-09,3619,0.914617297596021,188.5965383705441,yulara,mondrian_cqr,static,5
2024-10,3883,0.9479783672418234,199.56901723156847,yulara,mondrian_cqr,static,5
2024-11,3442,0.9404416037187682,289.4643720437296,yulara,mondrian_cqr,static,5
2024-12,3888,0.9539609053497943,234.69573445963243,yulara,mondrian_cqr,static,5
2024-01,3849,0.9111457521434139,355.1984142016046,yulara,aci,anticipative,5
2024-02,3253,0.9292960344297572,222.55773663684747,yulara,aci,anticipative,5
2024-03,3802,0.916096791162546,323.08953457457204,yulara,aci,anticipative,5
2024-04,3320,0.9081325301204819,153.27916722989747,yulara,aci,anticipative,5
2024-05,3176,0.9005037783375315,192.1197381029885,yulara,aci,anticipative,5
2024-06,3011,0.9023580205911658,193.0702903455642,yulara,aci,anticipative,5
2024-07,3172,0.8997477931904161,201.76192319508255,yulara,aci,anticipative,5
2024-08,2490,0.9132530120481928,131.95015693456622,yulara,aci,anticipative,5
2024-09,3619,0.9165515335728102,237.4182694074921,yulara,aci,anticipative,5
2024-10,3883,0.9237702807107906,241.87920451881973,yulara,aci,anticipative,5
2024-11,3442,0.9140034863451482,320.24428183133085,yulara,aci,anticipative,5
2024-12,3888,0.9236111111111112,244.41661960765828,yulara,aci,anticipative,5
2024-01,3849,0.905429981813458,340.51112452168326,yulara,aci_regime,anticipative,5
2024-02,3253,0.9311404857055026,233.2163946628149,yulara,aci_regime,anticipative,5
2024-03,3802,0.9076801683324566,284.36169366732,yulara,aci_regime,anticipative,5
2024-04,3320,0.8987951807228916,152.7222132902063,yulara,aci_regime,anticipative,5
2024-05,3176,0.8913727959697733,162.01424234521397,yulara,aci_regime,anticipative,5
2024-06,3011,0.8960478246429757,183.64069208320743,yulara,aci_regime,anticipative,5
2024-07,3172,0.887452711223203,188.8689537205749,yulara,aci_regime,anticipative,5
2024-08,2490,0.8975903614457831,103.00491032980405,yulara,aci_regime,anticipative,5
2024-09,3619,0.9052224371373307,223.2205288441995,yulara,aci_regime,anticipative,5
2024-10,3883,0.9227401493690446,232.81048627874506,yulara,aci_regime,anticipative,5
2024-11,3442,0.9093550261475886,314.6980277263898,yulara,aci_regime,anticipative,5
2024-12,3888,0.9189814814814815,247.37369503984178,yulara,aci_regime,anticipative,5
2024-01,3849,0.9111457521434139,355.1984142016046,yulara,aci,delayed,5
2024-02,3253,0.9292960344297572,222.55773663684747,yulara,aci,delayed,5
2024-03,3802,0.916096791162546,323.08953457457204,yulara,aci,delayed,5
2024-04,3320,0.9081325301204819,153.27916722989747,yulara,aci,delayed,5
2024-05,3176,0.9005037783375315,192.1197381029885,yulara,aci,delayed,5
2024-06,3011,0.9023580205911658,193.0702903455642,yulara,aci,delayed,5
2024-07,3172,0.8997477931904161,201.76192319508255,yulara,aci,delayed,5
2024-08,2490,0.9132530120481928,131.95015693456622,yulara,aci,delayed,5
2024-09,3619,0.9165515335728102,237.4182694074921,yulara,aci,delayed,5
2024-10,3883,0.9237702807107906,241.87920451881973,yulara,aci,delayed,5
2024-11,3442,0.9140034863451482,320.24428183133085,yulara,aci,delayed,5
2024-12,3888,0.9236111111111112,244.41661960765828,yulara,aci,delayed,5
2024-01,3849,0.905429981813458,340.51112452168326,yulara,aci_regime,delayed,5
2024-02,3253,0.9311404857055026,233.2163946628149,yulara,aci_regime,delayed,5
2024-03,3802,0.9076801683324566,284.36169366732,yulara,aci_regime,delayed,5
2024-04,3320,0.8987951807228916,152.7222132902063,yulara,aci_regime,delayed,5
2024-05,3176,0.8913727959697733,162.01424234521397,yulara,aci_regime,delayed,5
2024-06,3011,0.8960478246429757,183.64069208320743,yulara,aci_regime,delayed,5
2024-07,3172,0.887452711223203,188.8689537205749,yulara,aci_regime,delayed,5
2024-08,2490,0.8975903614457831,103.00491032980405,yulara,aci_regime,delayed,5
2024-09,3619,0.9052224371373307,223.2205288441995,yulara,aci_regime,delayed,5
2024-10,3883,0.9227401493690446,232.81048627874506,yulara,aci_regime,delayed,5
2024-11,3442,0.9093550261475886,314.6980277263898,yulara,aci_regime,delayed,5
