site,horizon_min,variant,point_RMSE,point_MAE,method,scope,n,PICP,ACE,PINAW
yulara,60,clean,136.1371,82.4995,cqr,clear,17360,0.9071,0.0071,0.1611
yulara,60,clean,136.1371,82.4995,cqr,transitional,11695,0.9,-0.0,0.3888
yulara,60,clean,136.1371,82.4995,cqr,cloudy,2915,0.9619,0.0619,0.5403
yulara,60,clean,136.1371,82.4995,mondrian_cqr,all,31970,0.9071,0.0071,0.2636
yulara,60,clean,136.1371,82.4995,mondrian_cqr,clear,17360,0.9115,0.0115,0.1668
yulara,60,clean,136.1371,82.4995,mondrian_cqr,transitional,11695,0.9007,0.0007,0.3902
yulara,60,clean,136.1371,82.4995,mondrian_cqr,cloudy,2915,0.9067,0.0067,0.5002
asp,5,published,84.1367,37.5758,icp,all,44221,0.8766,-0.0234,0.1197
asp,5,published,84.1367,37.5758,icp,clear,23683,0.978,0.078,0.1307
asp,5,published,84.1367,37.5758,icp,transitional,16518,0.7098,-0.1902,0.1181
asp,5,published,84.1367,37.5758,icp,cloudy,4020,0.9642,0.0642,0.1668
asp,5,published,84.1367,37.5758,icp_norm,all,44221,0.8799,-0.0201,0.1325
asp,5,published,84.1367,37.5758,icp_norm,clear,23683,0.9766,0.0766,0.1505
asp,5,published,84.1367,37.5758,icp_norm,transitional,16518,0.7181,-0.1819,0.1231
asp,5,published,84.1367,37.5758,icp_norm,cloudy,4020,0.9754,0.0754,0.1836
asp,5,published,84.1367,37.5758,mondrian,all,44221,0.8912,-0.0088,0.1131
asp,5,published,84.1367,37.5758,mondrian,clear,23683,0.8879,-0.0121,0.0241
asp,5,published,84.1367,37.5758,mondrian,transitional,16518,0.8974,-0.0026,0.2556
asp,5,published,84.1367,37.5758,mondrian,cloudy,4020,0.8846,-0.0154,0.0896
asp,5,published,84.1367,37.5758,cqr,all,44221,0.903,0.003,0.1058
asp,5,published,84.1367,37.5758,cqr,clear,23683,0.9105,0.0105,0.0351
asp,5,published,84.1367,37.5758,cqr,transitional,16518,0.8887,-0.0113,0.209
asp,5,published,84.1367,37.5758,cqr,cloudy,4020,0.9172,0.0172,0.164
asp,5,published,84.1367,37.5758,mondrian_cqr,all,44221,0.9034,0.0034,0.1069
asp,5,published,84.1367,37.5758,mondrian_cqr,clear,23683,0.9044,0.0044,0.0348
asp,5,published,84.1367,37.5758,mondrian_cqr,transitional,16518,0.9004,0.0004,0.2127
asp,5,published,84.1367,37.5758,mondrian_cqr,cloudy,4020,0.9102,0.0102,0.1625
asp,5,clean,83.6764,37.463,icp,all,43863,0.8753,-0.0247,0.1187
asp,5,clean,83.6764,37.463,icp,clear,23521,0.9778,0.0778,0.1295
asp,5,clean,83.6764,37.463,icp,transitional,16355,0.7065,-0.1935,0.117
asp,5,clean,83.6764,37.463,icp,cloudy,3987,0.9634,0.0634,0.1653
