site,horizon_min,batt,E_max,P_max,policy,theta,protocol,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,soc_min,soc_max
asp,60,large,1500.0,600.0,icp,0.925,A,78.91,1001.18,0.8596,0.6966,0.1,1.0
asp,60,small,250.0,250.0,mondrian,0.85,A,243.53,1539.12,0.5896,0.5451,0.1,1.0
asp,60,default,600.0,400.0,mondrian,0.875,A,146.9,1112.51,0.7392,0.6631,0.1,1.0
asp,60,large,1500.0,600.0,mondrian,0.925,A,62.41,605.57,0.8889,0.8165,0.1,1.0
asp,60,small,250.0,250.0,mondrian_cqr,0.825,A,211.42,1164.88,0.6437,0.6557,0.1,1.0
asp,60,default,600.0,400.0,mondrian_cqr,0.825,A,140.15,975.36,0.7512,0.7046,0.1,1.0
asp,60,large,1500.0,600.0,mondrian_cqr,0.9,A,67.73,563.98,0.8795,0.8291,0.1,1.0
asp,60,small,250.0,250.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
asp,60,default,600.0,400.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
asp,60,large,1500.0,600.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
yulara,5,small,250.0,250.0,cqr,0.75,A,34.02,196.51,0.808,0.7328,0.1,1.0
yulara,5,default,600.0,400.0,cqr,0.8,A,7.0,68.78,0.9591,0.9043,0.1,1.0
yulara,5,large,1500.0,600.0,cqr,0.95,A,2.62,44.97,0.9847,0.9375,0.1,1.0
yulara,5,small,250.0,250.0,deterministic,,A,177.21,735.43,0.0,0.0,0.1,1.0
yulara,5,default,600.0,400.0,deterministic,,A,171.24,719.08,0.0,0.0,0.1,0.555
yulara,5,large,1500.0,600.0,deterministic,,A,171.03,719.0,0.0,0.0,0.1,0.282
yulara,5,small,250.0,250.0,icp,0.875,A,54.91,362.67,0.6901,0.5069,0.1,1.0
yulara,5,default,600.0,400.0,icp,0.9,A,12.76,170.27,0.9255,0.7632,0.1,1.0
yulara,5,large,1500.0,600.0,icp,0.95,A,0.9,17.8,0.9948,0.9752,0.1,0.961
yulara,5,small,250.0,250.0,mondrian,0.775,A,35.82,290.06,0.7979,0.6056,0.1,1.0
yulara,5,default,600.0,400.0,mondrian,0.825,A,8.04,103.34,0.9531,0.8563,0.1,1.0
