site,horizon_min,protocol,policy,theta,lam,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,soc_min,soc_max,selection_objective
yulara,30,A,cqr,0.825,0.0,62.99,397.62,0.864,0.8462,0.1,1.0,46.75
yulara,30,A_meancvar_lam0.25,cqr,0.85,0.25,72.81,386.98,0.8428,0.8503,0.1,1.0,119.27
yulara,30,A_meancvar_lam0.5,cqr,0.85,0.5,72.81,386.98,0.8428,0.8503,0.1,1.0,191.06
yulara,30,A_meancvar_lam0.75,cqr,0.85,0.75,72.81,386.98,0.8428,0.8503,0.1,1.0,262.86
yulara,30,A_meancvar_lam1.0,cqr,0.85,1.0,72.81,386.98,0.8428,0.8503,0.1,1.0,334.66
yulara,30,A,icp,0.875,0.0,166.85,1370.76,0.6397,0.4697,0.1,1.0,86.63
yulara,30,A_meancvar_lam0.25,icp,0.925,0.25,98.82,463.27,0.7866,0.8208,0.1,1.0,181.27
yulara,30,A_meancvar_lam0.5,icp,0.925,0.5,98.82,463.27,0.7866,0.8208,0.1,1.0,231.2
yulara,30,A_meancvar_lam0.75,icp,0.925,0.75,98.82,463.27,0.7866,0.8208,0.1,1.0,281.13
yulara,30,A_meancvar_lam1.0,icp,0.925,1.0,98.82,463.27,0.7866,0.8208,0.1,1.0,331.06
yulara,30,A,mondrian,0.85,0.0,61.42,434.83,0.8674,0.8318,0.1,1.0,50.05
yulara,30,A_meancvar_lam0.25,mondrian,0.85,0.25,61.42,434.83,0.8674,0.8318,0.1,1.0,128.96
yulara,30,A_meancvar_lam0.5,mondrian,0.85,0.5,61.42,434.83,0.8674,0.8318,0.1,1.0,207.87
yulara,30,A_meancvar_lam0.75,mondrian,0.875,0.75,72.32,403.57,0.8438,0.8439,0.1,1.0,284.68
yulara,30,A_meancvar_lam1.0,mondrian,0.875,1.0,72.32,403.57,0.8438,0.8439,0.1,1.0,360.22
yulara,30,A,mondrian_cqr,0.825,0.0,64.09,396.28,0.8616,0.8467,0.1,1.0,46.3
yulara,30,A_meancvar_lam0.25,mondrian_cqr,0.85,0.25,75.2,390.57,0.8376,0.8489,0.1,1.0,121.33
yulara,30,A_meancvar_lam0.5,mondrian_cqr,0.85,0.5,75.2,390.57,0.8376,0.8489,0.1,1.0,193.97
yulara,30,A_meancvar_lam0.75,mondrian_cqr,0.85,0.75,75.2,390.57,0.8376,0.8489,0.1,1.0,266.61
yulara,30,A_meancvar_lam1.0,mondrian_cqr,0.85,1.0,75.2,390.57,0.8376,0.8489,0.1,1.0,339.26
yulara,60,A,cqr,0.875,0.0,113.0,623.46,0.8098,0.8384,0.1,1.0,90.22
yulara,60,A_meancvar_lam0.25,cqr,0.9,0.25,130.04,595.65,0.7811,0.8456,0.1,1.0,232.1
yulara,60,A_meancvar_lam0.5,cqr,0.9,0.5,130.04,595.65,0.7811,0.8456,0.1,1.0,365.79
yulara,60,A_meancvar_lam0.75,cqr,0.9,0.75,130.04,595.65,0.7811,0.8456,0.1,1.0,499.48
yulara,60,A_meancvar_lam1.0,cqr,0.925,1.0,159.22,613.86,0.732,0.8409,0.1,1.0,626.31
