site,method,variant,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
yulara,aci_g0.05,delayed,5,0.8,all,40905,0.8096,0.0096,0.1091,241.01
yulara,aci_g0.1,delayed,5,0.8,all,40905,0.8077,0.0077,0.1345,261.57
yulara,aci_g0.01,anticipative,5,0.9,all,40905,0.9123,0.0123,0.1619,371.29
yulara,aci_g0.02,anticipative,5,0.9,all,40905,0.9166,0.0166,0.1657,347.64
yulara,aci_g0.05,anticipative,5,0.9,all,40905,0.9137,0.0137,0.1738,337.52
yulara,aci_g0.1,anticipative,5,0.9,all,40905,0.909,0.009,0.1923,349.97
yulara,aci_g0.01,delayed,5,0.9,all,40905,0.9123,0.0123,0.1619,371.29
yulara,aci_g0.02,delayed,5,0.9,all,40905,0.9166,0.0166,0.1657,347.64
yulara,aci_g0.05,delayed,5,0.9,all,40905,0.9137,0.0137,0.1738,337.52
yulara,aci_g0.1,delayed,5,0.9,all,40905,0.909,0.009,0.1923,349.97
yulara,aci_g0.01,anticipative,5,0.95,all,40905,0.9657,0.0157,0.2499,481.48
yulara,aci_g0.02,anticipative,5,0.95,all,40905,0.967,0.017,0.2504,463.02
yulara,aci_g0.05,anticipative,5,0.95,all,40905,0.9623,0.0123,0.2539,454.39
yulara,aci_g0.1,anticipative,5,0.95,all,40905,0.9581,0.0081,0.2729,467.3
yulara,aci_g0.01,delayed,5,0.95,all,40905,0.9657,0.0157,0.2499,481.48
yulara,aci_g0.02,delayed,5,0.95,all,40905,0.967,0.017,0.2504,463.02
yulara,aci_g0.05,delayed,5,0.95,all,40905,0.9623,0.0123,0.2539,454.39
yulara,aci_g0.1,delayed,5,0.95,all,40905,0.9581,0.0081,0.2729,467.3
yulara,aci_g0.01,anticipative,60,0.8,all,36794,0.8234,0.0234,0.188,426.0
yulara,aci_g0.02,anticipative,60,0.8,all,36794,0.8352,0.0352,0.1898,385.29
yulara,aci_g0.05,anticipative,60,0.8,all,36794,0.8265,0.0265,0.1878,351.09
yulara,aci_g0.1,anticipative,60,0.8,all,36794,0.8183,0.0183,0.1995,354.86
yulara,aci_g0.01,delayed,60,0.8,all,36794,0.8109,0.0109,0.2093,493.43
yulara,aci_g0.02,delayed,60,0.8,all,36794,0.8226,0.0226,0.2506,516.05
yulara,aci_g0.05,delayed,60,0.8,all,36794,0.8058,0.0058,0.3167,582.57
yulara,aci_g0.1,delayed,60,0.8,all,36794,0.799,-0.001,0.4288,732.14
yulara,aci_g0.01,anticipative,60,0.9,all,36794,0.9313,0.0313,0.2943,544.72
yulara,aci_g0.02,anticipative,60,0.9,all,36794,0.9377,0.0377,0.2807,495.65
yulara,aci_g0.05,anticipative,60,0.9,all,36794,0.9286,0.0286,0.2604,449.47
yulara,aci_g0.1,anticipative,60,0.9,all,36794,0.9183,0.0183,0.2645,445.85
yulara,aci_g0.01,delayed,60,0.9,all,36794,0.9194,0.0194,0.3367,651.66
yulara,aci_g0.02,delayed,60,0.9,all,36794,0.9194,0.0194,0.3657,671.12
yulara,aci_g0.05,delayed,60,0.9,all,36794,0.8998,-0.0002,0.3944,717.56
yulara,aci_g0.1,delayed,60,0.9,all,36794,0.8861,-0.0139,0.4574,794.61
yulara,aci_g0.01,anticipative,60,0.95,all,36794,0.9706,0.0206,0.4022,678.76
yulara,aci_g0.02,anticipative,60,0.95,all,36794,0.9747,0.0247,0.384,634.73
yulara,aci_g0.05,anticipative,60,0.95,all,36794,0.973,0.023,0.3549,582.3
yulara,aci_g0.1,anticipative,60,0.95,all,36794,0.9661,0.0161,0.3447,562.55
yulara,aci_g0.01,delayed,60,0.95,all,36794,0.9596,0.0096,0.4472,813.16
yulara,aci_g0.02,delayed,60,0.95,all,36794,0.9612,0.0112,0.4567,816.86
yulara,aci_g0.05,delayed,60,0.95,all,36794,0.9511,0.0011,0.4501,836.79
yulara,aci_g0.1,delayed,60,0.95,all,36794,0.9253,-0.0247,0.4572,883.75
yulara,aci_g0.01,anticipative,15,0.8,all,40094,0.8101,0.0101,0.1297,353.41
yulara,aci_g0.02,anticipative,15,0.8,all,40094,0.8189,0.0189,0.135,321.9
yulara,aci_g0.05,anticipative,15,0.8,all,40094,0.8146,0.0146,0.1452,297.9
yulara,aci_g0.1,anticipative,15,0.8,all,40094,0.8105,0.0105,0.1645,306.55
yulara,aci_g0.01,delayed,15,0.8,all,40094,0.8085,0.0085,0.1331,364.31
yulara,aci_g0.02,delayed,15,0.8,all,40094,0.8166,0.0166,0.1454,344.87
yulara,aci_g0.05,delayed,15,0.8,all,40094,0.8108,0.0108,0.1762,355.08
yulara,aci_g0.1,delayed,15,0.8,all,40094,0.8061,0.0061,0.2213,403.95
yulara,aci_g0.01,anticipative,15,0.9,all,40094,0.9235,0.0235,0.2271,464.52
yulara,aci_g0.02,anticipative,15,0.9,all,40094,0.9255,0.0255,0.2218,429.31
yulara,aci_g0.05,anticipative,15,0.9,all,40094,0.9187,0.0187,0.2154,398.79
yulara,aci_g0.1,anticipative,15,0.9,all,40094,0.9122,0.0122,0.2266,397.74
yulara,aci_g0.01,delayed,15,0.9,all,40094,0.9202,0.0202,0.2355,486.17
yulara,aci_g0.02,delayed,15,0.9,all,40094,0.9211,0.0211,0.2439,471.83
yulara,aci_g0.05,delayed,15,0.9,all,40094,0.9137,0.0137,0.2623,481.34
yulara,aci_g0.1,delayed,15,0.9,all,40094,0.9068,0.0068,0.3027,524.35
yulara,aci_g0.01,anticipative,15,0.95,all,40094,0.967,0.017,0.3307,597.1
yulara,aci_g0.02,anticipative,15,0.95,all,40094,0.9717,0.0217,0.3227,561.19
yulara,aci_g0.05,anticipative,15,0.95,all,40094,0.9668,0.0168,0.3032,519.41
yulara,aci_g0.1,anticipative,15,0.95,all,40094,0.9608,0.0108,0.3039,515.17
yulara,aci_g0.01,delayed,15,0.95,all,40094,0.9652,0.0152,0.3461,631.59
yulara,aci_g0.02,delayed,15,0.95,all,40094,0.9693,0.0193,0.354,623.38
yulara,aci_g0.05,delayed,15,0.95,all,40094,0.9619,0.0119,0.3611,624.95
yulara,aci_g0.1,delayed,15,0.95,all,40094,0.9557,0.0057,0.3823,652.97
yulara,aci_g0.01,anticipative,30,0.8,all,38960,0.8133,0.0133,0.1572,386.81
yulara,aci_g0.02,anticipative,30,0.8,all,38960,0.8255,0.0255,0.1586,350.38
yulara,aci_g0.05,anticipative,30,0.8,all,38960,0.819,0.019,0.1647,321.78
yulara,aci_g0.1,anticipative,30,0.8,all,38960,0.8129,0.0129,0.1807,328.51
yulara,aci_g0.01,delayed,30,0.8,all,38960,0.8085,0.0085,0.1666,416.92
yulara,aci_g0.02,delayed,30,0.8,all,38960,0.8179,0.0179,0.1856,410.09
yulara,aci_g0.05,delayed,30,0.8,all,38960,0.8093,0.0093,0.241,456.85
yulara,aci_g0.1,delayed,30,0.8,all,38960,0.802,0.002,0.3096,543.81
yulara,aci_g0.01,anticipative,30,0.9,all,38960,0.929,0.029,0.2577,499.03
yulara,aci_g0.02,anticipative,30,0.9,all,38960,0.9312,0.0312,0.2488,458.27
yulara,aci_g0.05,anticipative,30,0.9,all,38960,0.9224,0.0224,0.2349,421.2
yulara,aci_g0.1,anticipative,30,0.9,all,38960,0.9141,0.0141,0.2425,416.24
yulara,aci_g0.01,delayed,30,0.9,all,38960,0.9232,0.0232,0.2804,552.91
yulara,aci_g0.02,delayed,30,0.9,all,38960,0.9204,0.0204,0.2962,551.0
yulara,aci_g0.05,delayed,30,0.9,all,38960,0.91,0.01,0.3309,591.41
yulara,aci_g0.1,delayed,30,0.9,all,38960,0.8984,-0.0016,0.3884,659.97
yulara,aci_g0.01,anticipative,30,0.95,all,38960,0.9691,0.0191,0.3619,633.42
yulara,aci_g0.02,anticipative,30,0.95,all,38960,0.9734,0.0234,0.3486,589.83
yulara,aci_g0.05,anticipative,30,0.95,all,38960,0.9695,0.0195,0.3236,541.75
yulara,aci_g0.1,anticipative,30,0.95,all,38960,0.9624,0.0124,0.3248,541.94
yulara,aci_g0.01,delayed,30,0.95,all,38960,0.9653,0.0153,0.3898,704.46
yulara,aci_g0.02,delayed,30,0.95,all,38960,0.9685,0.0185,0.4042,706.23
yulara,aci_g0.05,delayed,30,0.95,all,38960,0.9558,0.0058,0.4171,727.17
yulara,aci_g0.1,delayed,30,0.95,all,38960,0.9453,-0.0047,0.4576,786.32
