site,horizon_min,set,pair,n,rate,mean_violation_Wm2
yulara,15,calib_quantiles_only,0.1->0.9,122,0.003101,3.9425
yulara,15,calib_quantiles_only,0.9->0.95,3999,0.101645,3.9816
yulara,15,calib_quantiles_only,0.95->0.975,4424,0.112447,6.8864
yulara,30,test_quantiles_only,0.025->0.05,4152,0.106571,5.9781
yulara,30,test_quantiles_only,0.05->0.1,3224,0.082752,11.5394
yulara,30,test_quantiles_only,0.1->0.9,91,0.002336,4.1095
yulara,30,test_quantiles_only,0.9->0.95,3344,0.085832,4.4112
yulara,30,test_quantiles_only,0.95->0.975,7040,0.180698,19.7504
yulara,30,test_with_point_as_median,0.025->0.05,4152,0.106571,5.9781
yulara,30,test_with_point_as_median,0.05->0.1,3224,0.082752,11.5394
yulara,30,test_with_point_as_median,0.1->0.5,2968,0.076181,5.1996
yulara,30,test_with_point_as_median,0.5->0.9,504,0.012936,2.5619
yulara,30,test_with_point_as_median,0.9->0.95,3344,0.085832,4.4112
yulara,30,test_with_point_as_median,0.95->0.975,7040,0.180698,19.7504
yulara,30,calib_quantiles_only,0.025->0.05,4445,0.116237,7.0542
yulara,30,calib_quantiles_only,0.05->0.1,3697,0.096676,13.3879
yulara,30,calib_quantiles_only,0.1->0.9,92,0.002406,6.7793
yulara,30,calib_quantiles_only,0.9->0.95,4034,0.105489,4.3713
yulara,30,calib_quantiles_only,0.95->0.975,7340,0.191941,18.2322
