method,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
aci_g0.1,15,0.8,all,38651,0.8124,0.0124,0.167,311.43
icp,15,0.9,all,38651,0.8769,-0.0231,0.2165,595.72
icp,15,0.9,clear,20711,0.9788,0.0788,0.2335,367.0
icp,15,0.9,transitional,14420,0.7179,-0.1821,0.2165,968.88
icp,15,0.9,cloudy,3520,0.929,0.029,0.226,412.78
icp_norm,15,0.9,all,38651,0.8892,-0.0108,0.3029,586.08
icp_norm,15,0.9,clear,20711,0.9423,0.0423,0.3365,507.72
icp_norm,15,0.9,transitional,14420,0.796,-0.104,0.2943,735.6
icp_norm,15,0.9,cloudy,3520,0.9585,0.0585,0.2947,434.53
mondrian,15,0.9,all,38651,0.8898,-0.0102,0.1922,468.56
mondrian,15,0.9,clear,20711,0.8953,-0.0047,0.0873,268.78
mondrian,15,0.9,transitional,14420,0.8821,-0.0179,0.3578,767.69
mondrian,15,0.9,cloudy,3520,0.8895,-0.0105,0.1844,418.67
cqr,15,0.9,all,38651,0.8988,-0.0012,0.1961,383.89
cqr,15,0.9,clear,20711,0.9004,0.0004,0.095,235.09
cqr,15,0.9,transitional,14420,0.8836,-0.0164,0.325,579.86
cqr,15,0.9,cloudy,3520,0.9509,0.0509,0.3375,456.61
mondrian_cqr,15,0.9,all,38651,0.8987,-0.0013,0.1966,382.81
mondrian_cqr,15,0.9,clear,20711,0.8978,-0.0022,0.0932,235.11
mondrian_cqr,15,0.9,transitional,14420,0.8953,-0.0047,0.3324,578.73
mondrian_cqr,15,0.9,cloudy,3520,0.9182,0.0182,0.3206,449.26
aci,15,0.9,all,38651,0.9208,0.0208,0.22,405.55
aci,15,0.9,clear,20711,0.9221,0.0221,0.0978,206.22
aci,15,0.9,transitional,14420,0.9172,0.0172,0.4126,706.7
aci,15,0.9,cloudy,3520,0.9281,0.0281,0.2107,344.69
aci_regime,15,0.9,all,38651,0.9092,0.0092,0.2084,397.08
aci_regime,15,0.9,clear,20711,0.8972,-0.0028,0.0839,190.9
aci_regime,15,0.9,transitional,14420,0.9265,0.0265,0.4018,695.73
aci_regime,15,0.9,cloudy,3520,0.9091,0.0091,0.2023,386.79
aci_g0.01,15,0.9,all,38651,0.924,0.024,0.2298,468.58
aci_g0.02,15,0.9,all,38651,0.9262,0.0262,0.2263,434.47
aci_g0.05,15,0.9,all,38651,0.9208,0.0208,0.22,405.55
aci_g0.1,15,0.9,all,38651,0.9136,0.0136,0.2329,408.9
icp,15,0.95,all,38651,0.9367,-0.0133,0.3243,755.59
icp,15,0.95,clear,20711,0.9882,0.0382,0.353,534.88
icp,15,0.95,transitional,14420,0.8537,-0.0963,0.3241,1128.48
icp,15,0.95,cloudy,3520,0.9733,0.0233,0.3198,526.6
icp_norm,15,0.95,all,38651,0.9453,-0.0047,0.4516,745.81
icp_norm,15,0.95,clear,20711,0.9585,0.0085,0.5067,737.17
icp_norm,15,0.95,transitional,14420,0.9178,-0.0322,0.4404,807.96
icp_norm,15,0.95,cloudy,3520,0.981,0.031,0.4009,542.02
mondrian,15,0.95,all,38651,0.9425,-0.0075,0.2578,594.66
mondrian,15,0.95,clear,20711,0.9464,-0.0036,0.1373,384.71
mondrian,15,0.95,transitional,14420,0.9361,-0.0139,0.4525,910.99
mondrian,15,0.95,cloudy,3520,0.9455,-0.0045,0.2471,534.15
cqr,15,0.95,all,38651,0.9505,0.0005,0.2821,482.57
cqr,15,0.95,clear,20711,0.9407,-0.0093,0.1674,324.68
cqr,15,0.95,transitional,14420,0.9544,0.0044,0.4181,670.17
cqr,15,0.95,cloudy,3520,0.9926,0.0426,0.5228,643.03
mondrian_cqr,15,0.95,all,38651,0.9496,-0.0004,0.2816,477.58
mondrian_cqr,15,0.95,clear,20711,0.9486,-0.0014,0.1821,322.53
mondrian_cqr,15,0.95,transitional,14420,0.9478,-0.0022,0.4083,670.21
mondrian_cqr,15,0.95,cloudy,3520,0.9625,0.0125,0.4688,600.71
aci,15,0.95,all,38651,0.9676,0.0176,0.3083,527.5
aci,15,0.95,clear,20711,0.9705,0.0205,0.1833,329.12
aci,15,0.95,transitional,14420,0.963,0.013,0.5182,833.12
aci,15,0.95,cloudy,3520,0.9693,0.0193,0.2836,442.71
aci_regime,15,0.95,all,38651,0.9569,0.0069,0.2806,497.47
aci_regime,15,0.95,clear,20711,0.9512,0.0012,0.1332,268.33
aci_regime,15,0.95,transitional,14420,0.9652,0.0152,0.513,832.93
aci_regime,15,0.95,cloudy,3520,0.9563,0.0063,0.276,471.49
aci_g0.01,15,0.95,all,38651,0.9669,0.0169,0.3349,602.4
aci_g0.02,15,0.95,all,38651,0.9719,0.0219,0.3269,565.91
aci_g0.05,15,0.95,all,38651,0.9676,0.0176,0.3083,527.5
aci_g0.1,15,0.95,all,38651,0.962,0.012,0.3073,522.67
icp,30,0.8,all,37549,0.7572,-0.0428,0.1366,484.4
icp,30,0.8,clear,20234,0.9403,0.1403,0.1506,259.82
icp,30,0.8,transitional,13900,0.5015,-0.2985,0.1366,824.27
icp,30,0.8,cloudy,3415,0.7127,-0.0873,0.1548,431.63
icp_norm,30,0.8,all,37549,0.7738,-0.0262,0.1986,478.04
icp_norm,30,0.8,clear,20234,0.9086,0.1086,0.2239,351.67
icp_norm,30,0.8,transitional,13900,0.5663,-0.2337,0.1938,682.87
icp_norm,30,0.8,cloudy,3415,0.8205,0.0205,0.2165,393.09
mondrian,30,0.8,all,37549,0.7923,-0.0077,0.1431,392.4
mondrian,30,0.8,clear,20234,0.8085,0.0085,0.0501,207.88
mondrian,30,0.8,transitional,13900,0.7696,-0.0304,0.2809,655.3
mondrian,30,0.8,cloudy,3415,0.7883,-0.0117,0.1876,415.6
cqr,30,0.8,all,37549,0.8173,0.0173,0.1548,324.44
