site,horizon_min,protocol,policy,theta,mean_ci,cvar_ci,vc_mean_ci,vc_cvar_ci
yulara,30,R0_test_argmin_coarse,mondrian_cqr,0.8,"[46.8075, 68.4499]","[329.2821, 513.2751]","[0.8517, 0.8977]","[0.7935, 0.8738]"
yulara,30,A,mondrian_cqr,0.825,"[53.7485, 74.793]","[314.269, 474.5689]","[0.8351, 0.8845]","[0.8079, 0.8812]"
yulara,30,A_meancvar_lam0.5,mondrian_cqr,0.85,"[64.019, 86.5283]","[319.6212, 464.3231]","[0.8077, 0.8631]","[0.8119, 0.8811]"
yulara,30,B_critical_fractile,mondrian_cqr,0.909,"[109.9196, 141.8546]","[442.8356, 570.2806]","[0.6802, 0.7683]","[0.7659, 0.8383]"
yulara,60,R0_test_argmin_coarse,cqr,0.8,"[89.1338, 131.8544]","[665.4512, 979.4106]","[0.7843, 0.8429]","[0.7396, 0.8257]"
yulara,60,A,cqr,0.875,"[96.2286, 130.052]","[503.8489, 726.4355]","[0.7738, 0.8403]","[0.8026, 0.8711]"
yulara,60,A_meancvar_lam0.5,cqr,0.9,"[112.6989, 147.256]","[509.6762, 679.2091]","[0.7381, 0.817]","[0.8115, 0.8734]"
yulara,60,B_critical_fractile,cqr,0.909,"[120.6255, 156.4373]","[521.2444, 666.3337]","[0.7199, 0.8051]","[0.8126, 0.8729]"
yulara,60,R0_test_argmin_coarse,icp,0.9,"[152.2118, 237.9096]","[1338.8786, 2083.1747]","[0.633, 0.716]","[0.4955, 0.6209]"
yulara,60,A,icp,0.9,"[152.2118, 237.9096]","[1338.8786, 2083.1747]","[0.633, 0.716]","[0.4955, 0.6209]"
yulara,60,A_meancvar_lam0.5,icp,0.95,"[237.5014, 263.6754]","[504.9902, 675.9699]","[0.4895, 0.6456]","[0.8132, 0.877]"
yulara,60,B_critical_fractile,icp,0.909,"[146.4236, 220.3466]","[1154.1512, 1833.6782]","[0.6518, 0.7338]","[0.5536, 0.6748]"
yulara,60,R0_test_argmin_coarse,mondrian,0.9,"[112.8848, 151.3938]","[546.6199, 877.5543]","[0.7373, 0.8115]","[0.7772, 0.853]"
yulara,60,A,mondrian,0.875,"[101.7061, 148.5102]","[650.0511, 1158.6859]","[0.7577, 0.8215]","[0.7163, 0.8179]"
yulara,60,A_meancvar_lam0.5,mondrian,0.925,"[142.5994, 181.5379]","[567.3314, 736.0392]","[0.6729, 0.7693]","[0.7934, 0.8631]"
yulara,60,B_critical_fractile,mondrian,0.909,"[119.0924, 157.1715]","[552.0586, 827.0531]","[0.7236, 0.8036]","[0.785, 0.854]"
yulara,60,R0_test_argmin_coarse,mondrian_cqr,0.8,"[87.7876, 129.4803]","[652.3092, 955.7688]","[0.7871, 0.846]","[0.7447, 0.8298]"
yulara,60,A,mondrian_cqr,0.875,"[99.2501, 132.9774]","[500.8296, 708.9693]","[0.7676, 0.8357]","[0.8063, 0.8725]"
yulara,60,A_meancvar_lam0.5,mondrian_cqr,0.9,"[117.327, 152.7021]","[517.8664, 668.2186]","[0.7279, 0.8093]","[0.8128, 0.8727]"
yulara,60,B_critical_fractile,mondrian_cqr,0.909,"[127.3497, 164.634]","[534.5452, 667.2752]","[0.7048, 0.7939]","[0.8109, 0.8719]"
