year,date,day_class,model,horizon_min,n,RMSE,MAE
2023,2023-07-29,mixed,persistence,30,104,207.31078720223206,135.80762687096222
2023,2023-07-29,mixed,smart_persistence,30,104,181.0482315925464,98.22148316664887
2023,2023-07-29,mixed,gbm,30,104,151.9303700977428,93.71107547474632
2023,2023-07-30,mixed,persistence,30,104,250.2246074180007,167.7712310277496
2023,2023-07-30,mixed,smart_persistence,30,104,223.56186157928602,119.09960666436633
2023,2023-07-30,mixed,gbm,30,104,244.2232028151864,158.1768651420789
2023,2023-07-31,mixed,persistence,30,104,135.36620622405508,93.27498887135425
2023,2023-07-31,mixed,smart_persistence,30,104,89.98597307196445,44.328800872897844
2023,2023-07-31,mixed,gbm,30,104,89.49719041728811,56.0254862208194
2023,2023-08-01,mixed,persistence,30,100,108.1096976002007,87.42199211821402
2023,2023-08-01,mixed,smart_persistence,30,100,96.11182107094898,59.20897545733272
2023,2023-08-01,mixed,gbm,30,100,105.4273261181082,75.95108058431677
2023,2023-08-04,mixed,persistence,30,106,100.23738662863055,79.84913088240707
2023,2023-08-04,mixed,smart_persistence,30,106,31.636098354814486,17.064140320509516
2023,2023-08-04,mixed,gbm,30,106,29.398038053304244,14.217469708731642
2023,2023-08-05,mixed,persistence,30,106,84.70000136412747,75.32330826093562
2023,2023-08-05,mixed,smart_persistence,30,106,23.95793052958838,16.767335388587306
2023,2023-08-05,mixed,gbm,30,106,21.844181367702813,13.988801853829193
2023,2023-08-06,mixed,persistence,30,106,85.59649215189411,76.02031196738209
2023,2023-08-06,mixed,smart_persistence,30,106,26.663101304201277,18.47858902200486
2023,2023-08-06,mixed,gbm,30,106,25.792326948395917,17.764973845314696
2023,2023-08-07,mixed,persistence,30,106,86.76341098584696,76.99614643600793
2023,2023-08-07,mixed,smart_persistence,30,106,28.86536369967092,19.75927698285949
2023,2023-08-07,mixed,gbm,30,106,28.912742930886708,20.189554668704922
2023,2023-08-08,mixed,persistence,30,106,87.26459598545114,77.36661392787737
2023,2023-08-08,mixed,smart_persistence,30,106,28.908346774941847,20.015740174058383
2023,2023-08-08,mixed,gbm,30,106,29.247012301758488,20.65444160557523
2023,2023-08-09,mixed,persistence,30,106,87.06698092286605,77.2828959339067
2023,2023-08-09,mixed,smart_persistence,30,106,26.78166726542098,19.054653671238306
2023,2023-08-09,mixed,gbm,30,106,26.74316387481173,18.913192043799793
2023,2023-08-10,mixed,persistence,30,95,82.59675955312335,72.32216186523452
2023,2023-08-10,mixed,smart_persistence,30,95,27.832709523493527,19.44799236204142
