site,horizon_min,scope,kind,method_a,method_b,n,value,ci_lo,ci_hi,dm_stat,dm_p_hac_h,dm_p_hac_day,significant_95
yulara,15,clear,CRPS_level,icp_norm|static,,21496,24.1278,23.3937,24.9384,,,,
yulara,15,clear,CRPS_level,mondrian|static,,21496,14.7575,13.4399,16.2024,,,,
yulara,15,clear,CRPS_level,cqr|static,,21496,13.3,12.337,14.3434,,,,
yulara,15,clear,CRPS_level,mondrian_cqr|static,,21496,13.2832,12.3309,14.3131,,,,
yulara,15,clear,CRPS_level,cqr|rearranged,,21496,13.2534,12.2947,14.2946,,,,
yulara,15,clear,CRPS_level,mondrian_cqr|rearranged,,21496,13.2358,12.2843,14.2664,,,,
yulara,15,clear,CRPS_diff,icp,icp_norm,21496,-5.7537,-6.0849,-5.4187,-25.785,0.0,0.0,yes
yulara,15,clear,CRPS_diff,icp,mondrian,21496,3.6167,3.068,4.1217,8.759,0.0,0.0,yes
yulara,15,clear,CRPS_diff,icp,cqr,21496,5.0742,4.5276,5.604,11.833,0.0,0.0,yes
yulara,15,clear,CRPS_diff,icp,mondrian_cqr,21496,5.091,4.5597,5.6084,12.245,0.0,0.0,yes
yulara,15,clear,CRPS_diff,icp_norm,mondrian,21496,9.3704,8.5715,10.0961,17.097,0.0,0.0,yes
yulara,15,clear,CRPS_diff,icp_norm,cqr,21496,10.8278,10.1684,11.4805,22.079,0.0,0.0,yes
yulara,15,clear,CRPS_diff,icp_norm,mondrian_cqr,21496,10.8446,10.1957,11.4826,22.67,0.0,0.0,yes
yulara,15,clear,CRPS_diff,mondrian,cqr,21496,1.4575,0.8133,2.1688,2.61,0.0,0.009064,yes
yulara,15,clear,CRPS_diff,mondrian,mondrian_cqr,21496,1.4743,0.8377,2.1802,2.675,0.0,0.007483,yes
yulara,15,clear,CRPS_diff,cqr,mondrian_cqr,21496,0.0168,0.0003,0.0337,1.171,0.018403,0.241527,yes
yulara,15,clear,CRPS_diff_rearranged,cqr|rearranged,cqr|static,21496,-0.046561,-0.053783,-0.039237,-8.558,,0.0,yes
yulara,15,clear,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,21496,-0.047378,-0.054782,-0.039831,-8.508,,0.0,yes
yulara,15,cloudy,CRPS_level,icp|static,,3610,25.8486,23.4714,28.7565,,,,
yulara,15,cloudy,CRPS_level,icp_norm|static,,3610,26.2414,24.2302,28.576,,,,
yulara,15,cloudy,CRPS_level,mondrian|static,,3610,25.8942,23.2802,29.0573,,,,
yulara,15,cloudy,CRPS_level,cqr|static,,3610,27.6622,25.9008,29.6416,,,,
yulara,15,cloudy,CRPS_level,mondrian_cqr|static,,3610,27.212,25.4052,29.2445,,,,
yulara,15,cloudy,CRPS_level,cqr|rearranged,,3610,27.6244,25.8547,29.595,,,,
yulara,15,cloudy,CRPS_level,mondrian_cqr|rearranged,,3610,27.1681,25.3609,29.1915,,,,
yulara,15,cloudy,CRPS_diff,icp,icp_norm,3610,-0.3928,-1.2541,0.6186,-0.776,0.281412,0.437612,no
yulara,15,cloudy,CRPS_diff,icp,mondrian,3610,-0.0456,-0.333,0.1998,-0.314,0.690717,0.753292,no
yulara,15,cloudy,CRPS_diff,icp,cqr,3610,-1.8136,-3.0687,-0.3038,-2.685,0.000912,0.007289,yes
yulara,15,cloudy,CRPS_diff,icp,mondrian_cqr,3610,-1.3633,-2.6191,0.1127,-2.045,0.012264,0.040893,no
yulara,15,cloudy,CRPS_diff,icp_norm,mondrian,3610,0.3472,-0.8683,1.371,0.564,0.436854,0.572665,no
yulara,15,cloudy,CRPS_diff,icp_norm,cqr,3610,-1.4208,-2.0494,-0.6896,-4.86,0.0,1e-06,yes
yulara,15,cloudy,CRPS_diff,icp_norm,mondrian_cqr,3610,-0.9706,-1.6133,-0.233,-3.117,0.000472,0.001842,yes
yulara,15,cloudy,CRPS_diff,mondrian,cqr,3610,-1.768,-3.199,-0.0375,-2.266,0.005181,0.023532,yes
yulara,15,cloudy,CRPS_diff,mondrian,mondrian_cqr,3610,-1.3178,-2.7318,0.377,-1.718,0.035557,0.08581,no
yulara,15,cloudy,CRPS_diff,cqr,mondrian_cqr,3610,0.4502,0.3429,0.5445,7.929,0.0,0.0,yes
yulara,15,cloudy,CRPS_diff_rearranged,cqr|rearranged,cqr|static,3610,-0.037799,-0.0766,-0.009288,-1.106,,0.268886,yes
yulara,15,cloudy,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,3610,-0.043855,-0.082931,-0.016875,-1.318,,0.187556,yes
yulara,15,transitional,CRPS_level,icp|static,,14988,60.1645,56.6618,63.6156,,,,
yulara,15,transitional,CRPS_level,icp_norm|static,,14988,51.2599,48.8442,53.5626,,,,
yulara,15,transitional,CRPS_level,mondrian|static,,14988,51.2881,48.922,53.6571,,,,
yulara,15,transitional,CRPS_level,cqr|static,,14988,43.332,41.5428,45.007,,,,
yulara,15,transitional,CRPS_level,mondrian_cqr|static,,14988,43.293,41.5183,44.9538,,,,
yulara,15,transitional,CRPS_level,cqr|rearranged,,14988,43.3252,41.5378,45.0017,,,,
yulara,15,transitional,CRPS_level,mondrian_cqr|rearranged,,14988,43.2856,41.5105,44.9477,,,,
yulara,15,transitional,CRPS_diff,icp,icp_norm,14988,8.9046,7.53,10.2853,9.186,0.0,0.0,yes
yulara,15,transitional,CRPS_diff,icp,mondrian,14988,8.8765,7.6533,10.0282,10.834,0.0,0.0,yes
yulara,15,transitional,CRPS_diff,icp,cqr,14988,16.8326,14.8054,18.8846,12.015,0.0,0.0,yes
yulara,15,transitional,CRPS_diff,icp,mondrian_cqr,14988,16.8715,14.8309,18.932,12.014,0.0,0.0,yes
yulara,15,transitional,CRPS_diff,icp_norm,mondrian,14988,-0.0282,-0.9233,0.8554,-0.042,0.910133,0.966822,no
yulara,15,transitional,CRPS_diff,icp_norm,cqr,14988,7.928,7.0122,8.8281,13.08,0.0,0.0,yes
yulara,15,transitional,CRPS_diff,icp_norm,mondrian_cqr,14988,7.9669,7.0369,8.8801,12.972,0.0,0.0,yes
yulara,15,transitional,CRPS_diff,mondrian,cqr,14988,7.9561,6.7477,9.2099,9.144,0.0,0.0,yes
yulara,15,transitional,CRPS_diff,mondrian,mondrian_cqr,14988,7.9951,6.7951,9.2526,9.214,0.0,0.0,yes
yulara,15,transitional,CRPS_diff,cqr,mondrian_cqr,14988,0.039,0.0154,0.0627,2.466,5e-06,0.013667,yes
yulara,15,transitional,CRPS_diff_rearranged,cqr|rearranged,cqr|static,14988,-0.006806,-0.011757,-0.000988,-2.232,,0.025621,yes
yulara,15,transitional,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,14988,-0.007455,-0.011381,-0.002989,-3.296,,0.000983,yes
yulara,30,all,CRPS_level,icp|static,,38960,38.8968,36.024,41.7755,,,,
yulara,30,all,CRPS_level,icp_norm|static,,38960,38.4568,36.544,40.3349,,,,
yulara,30,all,CRPS_level,mondrian|static,,38960,33.417,30.8097,36.0506,,,,
yulara,30,all,CRPS_level,cqr|static,,38960,29.2484,27.1805,31.2895,,,,
yulara,30,all,CRPS_level,mondrian_cqr|static,,38960,29.1879,27.1202,31.2209,,,,
yulara,30,all,CRPS_level,cqr|rearranged,,38960,29.2177,27.1491,31.2602,,,,
yulara,30,all,CRPS_level,mondrian_cqr|rearranged,,38960,29.1552,27.0887,31.1938,,,,
yulara,30,all,CRPS_diff,icp,icp_norm,38960,0.44,-0.6067,1.503,0.707,0.165031,0.479793,no
yulara,30,all,CRPS_diff,icp,mondrian,38960,5.4798,4.9271,6.0466,19.706,0.0,0.0,yes
yulara,30,all,CRPS_diff,icp,cqr,38960,9.6484,8.5036,10.8619,13.723,0.0,0.0,yes
yulara,30,all,CRPS_diff,icp,mondrian_cqr,38960,9.7089,8.5661,10.9206,13.881,0.0,0.0,yes
yulara,30,all,CRPS_diff,icp_norm,mondrian,38960,5.0398,4.1469,5.9227,9.521,0.0,0.0,yes
yulara,30,all,CRPS_diff,icp_norm,cqr,38960,9.2084,8.4919,9.9043,21.752,0.0,0.0,yes
yulara,30,all,CRPS_diff,icp_norm,mondrian_cqr,38960,9.2689,8.5638,9.956,22.383,0.0,0.0,yes
yulara,30,all,CRPS_diff,mondrian,cqr,38960,4.1685,3.319,5.0528,7.723,0.0,0.0,yes
yulara,30,all,CRPS_diff,mondrian,mondrian_cqr,38960,4.229,3.381,5.1077,7.897,0.0,0.0,yes
yulara,30,all,CRPS_diff,cqr,mondrian_cqr,38960,0.0605,0.0363,0.0851,4.099,0.0,4.2e-05,yes
yulara,30,all,CRPS_diff_rearranged,cqr|rearranged,cqr|static,38960,-0.030778,-0.037804,-0.023753,-6.404,,0.0,yes
yulara,30,all,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,38960,-0.032742,-0.039302,-0.026324,-7.44,,0.0,yes
yulara,30,clear,CRPS_level,icp|static,,20991,21.9394,20.8081,23.1853,,,,
yulara,30,clear,CRPS_level,icp_norm|static,,20991,27.9265,26.9963,28.9497,,,,
yulara,30,clear,CRPS_level,mondrian|static,,20991,18.178,16.4463,20.0906,,,,
yulara,30,clear,CRPS_level,cqr|static,,20991,15.6846,14.5219,16.9506,,,,
yulara,30,clear,CRPS_level,mondrian_cqr|static,,20991,15.6686,14.5087,16.9296,,,,
yulara,30,clear,CRPS_level,cqr|rearranged,,20991,15.6339,14.4722,16.9005,,,,
yulara,30,clear,CRPS_level,mondrian_cqr|rearranged,,20991,15.6162,14.4606,16.8724,,,,
yulara,30,clear,CRPS_diff,icp,icp_norm,20991,-5.9872,-6.4131,-5.5451,-20.715,0.0,0.0,yes
yulara,30,clear,CRPS_diff,icp,mondrian,20991,3.7614,3.0545,4.4046,6.865,0.0,0.0,yes
yulara,30,clear,CRPS_diff,icp,cqr,20991,6.2548,5.7044,6.8164,15.291,0.0,0.0,yes
yulara,30,clear,CRPS_diff,icp,mondrian_cqr,20991,6.2708,5.7338,6.821,15.793,0.0,0.0,yes
yulara,30,clear,CRPS_diff,icp_norm,mondrian,20991,9.7486,8.7267,10.6976,12.869,0.0,0.0,yes
yulara,30,clear,CRPS_diff,icp_norm,cqr,20991,12.2419,11.5557,12.9163,25.648,0.0,0.0,yes
yulara,30,clear,CRPS_diff,icp_norm,mondrian_cqr,20991,12.2579,11.5839,12.9184,26.344,0.0,0.0,yes
yulara,30,clear,CRPS_diff,mondrian,cqr,20991,2.4934,1.6976,3.3806,3.5,0.0,0.000466,yes
yulara,30,clear,CRPS_diff,mondrian,mondrian_cqr,20991,2.5094,1.7172,3.3921,3.545,0.0,0.000393,yes
yulara,30,clear,CRPS_diff,cqr,mondrian_cqr,20991,0.016,-0.0018,0.034,1.079,0.112181,0.280605,no
yulara,30,clear,CRPS_diff_rearranged,cqr|rearranged,cqr|static,20991,-0.050718,-0.061174,-0.04019,-6.431,,0.0,yes
yulara,30,clear,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,20991,-0.052359,-0.062418,-0.042179,-6.934,,0.0,yes
yulara,30,cloudy,CRPS_level,icp|static,,3497,35.8769,32.2279,40.2162,,,,
yulara,30,cloudy,CRPS_level,icp_norm|static,,3497,34.3292,31.3396,37.7747,,,,
yulara,30,cloudy,CRPS_level,mondrian|static,,3497,35.383,31.8534,39.6288,,,,
yulara,30,cloudy,CRPS_level,cqr|static,,3497,36.1785,33.7314,38.8269,,,,
yulara,30,cloudy,CRPS_level,mondrian_cqr|static,,3497,35.6683,33.1599,38.3871,,,,
yulara,30,cloudy,CRPS_level,cqr|rearranged,,3497,36.1769,33.7293,38.8214,,,,
yulara,30,cloudy,CRPS_level,mondrian_cqr|rearranged,,3497,35.6604,33.1531,38.3768,,,,
yulara,30,cloudy,CRPS_diff,icp,icp_norm,3497,1.5476,0.3874,2.8885,2.156,0.010847,0.031176,yes
yulara,30,cloudy,CRPS_diff,icp,mondrian,3497,0.4939,0.2936,0.7165,4.493,0.0,7e-06,yes
yulara,30,cloudy,CRPS_diff,icp,cqr,3497,-0.3017,-2.2374,2.1993,-0.245,0.762255,0.806696,no
yulara,30,cloudy,CRPS_diff,icp,mondrian_cqr,3497,0.2086,-1.698,2.6732,0.169,0.831565,0.865535,no
yulara,30,cloudy,CRPS_diff,icp_norm,mondrian,3497,-1.0538,-2.3537,0.0644,-1.514,0.072182,0.13008,no
yulara,30,cloudy,CRPS_diff,icp_norm,cqr,3497,-1.8493,-2.9289,-0.4567,-2.918,0.000376,0.003544,yes
yulara,30,cloudy,CRPS_diff,icp_norm,mondrian_cqr,3497,-1.3391,-2.4181,0.0192,-2.067,0.008337,0.03879,no
yulara,30,cloudy,CRPS_diff,mondrian,cqr,3497,-0.7955,-2.6987,1.6885,-0.645,0.415267,0.518971,no
yulara,30,cloudy,CRPS_diff,mondrian,mondrian_cqr,3497,-0.2853,-2.1533,2.154,-0.231,0.767095,0.81725,no
yulara,30,cloudy,CRPS_diff,cqr,mondrian_cqr,3497,0.5102,0.3136,0.6838,5.557,0.0,0.0,yes
yulara,30,cloudy,CRPS_diff_rearranged,cqr|rearranged,cqr|static,3497,-0.00165,-0.008751,0.006674,-0.406,,0.684702,no
yulara,30,cloudy,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,3497,-0.007945,-0.012066,-0.004736,-3.193,,0.00142,yes
yulara,30,transitional,CRPS_level,icp|static,,14472,64.2226,60.2736,68.1575,,,,
yulara,30,transitional,CRPS_level,icp_norm|static,,14472,54.7279,52.1156,57.2716,,,,
yulara,30,transitional,CRPS_level,mondrian|static,,14472,55.0454,52.3431,57.7735,,,,
yulara,30,transitional,CRPS_level,cqr|static,,14472,47.2476,45.2773,49.1002,,,,
yulara,30,transitional,CRPS_level,mondrian_cqr|static,,14472,47.2313,45.2712,49.0704,,,,
yulara,30,transitional,CRPS_level,cqr|rearranged,,14472,47.2387,45.2678,49.0935,,,,
yulara,30,transitional,CRPS_level,mondrian_cqr|rearranged,,14472,47.221,45.2622,49.0606,,,,
yulara,30,transitional,CRPS_diff,icp,icp_norm,14472,9.4947,7.8115,11.1948,8.405,0.0,0.0,yes
yulara,30,transitional,CRPS_diff,icp,mondrian,14472,9.1772,7.8436,10.4851,10.546,0.0,0.0,yes
yulara,30,transitional,CRPS_diff,icp,cqr,14472,16.975,14.5865,19.3526,11.082,0.0,0.0,yes
yulara,30,transitional,CRPS_diff,icp,mondrian_cqr,14472,16.9913,14.5936,19.3751,11.068,0.0,0.0,yes
yulara,30,transitional,CRPS_diff,icp_norm,mondrian,14472,-0.3175,-1.2792,0.6474,-0.448,0.358782,0.6544,no
yulara,30,transitional,CRPS_diff,icp_norm,cqr,14472,7.4803,6.5058,8.4751,12.293,0.0,0.0,yes
yulara,30,transitional,CRPS_diff,icp_norm,mondrian_cqr,14472,7.4966,6.5093,8.5014,12.185,0.0,0.0,yes
yulara,30,transitional,CRPS_diff,mondrian,cqr,14472,7.7978,6.4361,9.268,8.18,0.0,0.0,yes
yulara,30,transitional,CRPS_diff,mondrian,mondrian_cqr,14472,7.8142,6.4508,9.2826,8.209,0.0,0.0,yes
yulara,30,transitional,CRPS_diff,cqr,mondrian_cqr,14472,0.0164,-0.0054,0.0382,1.11,0.07624,0.266967,no
yulara,30,transitional,CRPS_diff_rearranged,cqr|rearranged,cqr|static,14472,-0.008894,-0.01606,-0.000699,-2.134,,0.032848,yes
yulara,30,transitional,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,14472,-0.010281,-0.016525,-0.003515,-2.97,,0.002985,yes
