site,horizon_min,policy,theta,set,mean_daily,cvar95_daily
yulara,15,mondrian,0.775,test2024,55.8,517.95
yulara,15,mondrian,0.8,test2024,36.28,382.27
yulara,15,mondrian,0.825,test2024,27.91,272.29
yulara,15,mondrian,0.85,test2024,34.47,245.75
yulara,15,mondrian,0.875,test2024,52.8,280.73
yulara,15,mondrian,0.9,test2024,80.03,343.32
yulara,15,mondrian,0.925,test2024,113.72,425.93
yulara,15,mondrian,0.95,test2024,167.26,567.75
yulara,15,mondrian,0.909,test2024,91.05,369.61
yulara,15,mondrian,0.75,selection2023H2,40.45,441.82
yulara,15,mondrian,0.775,selection2023H2,26.11,323.83
yulara,15,mondrian,0.8,selection2023H2,18.97,211.44
yulara,15,mondrian,0.825,selection2023H2,21.84,177.36
yulara,15,mondrian,0.85,selection2023H2,31.22,188.44
yulara,15,mondrian,0.875,selection2023H2,44.9,239.19
yulara,15,mondrian,0.9,selection2023H2,64.67,322.4
yulara,15,mondrian,0.925,selection2023H2,91.51,416.8
yulara,15,mondrian,0.95,selection2023H2,137.17,560.71
yulara,15,mondrian_cqr,0.75,test2024,30.28,266.88
yulara,15,mondrian_cqr,0.775,test2024,29.46,247.46
yulara,15,mondrian_cqr,0.8,test2024,31.96,227.97
yulara,15,mondrian_cqr,0.825,test2024,37.58,230.85
yulara,15,mondrian_cqr,0.85,test2024,48.61,252.51
yulara,15,mondrian_cqr,0.875,test2024,65.84,304.84
yulara,15,mondrian_cqr,0.9,test2024,87.42,361.28
yulara,15,mondrian_cqr,0.925,test2024,113.19,421.97
yulara,15,mondrian_cqr,0.95,test2024,152.08,517.46
yulara,15,mondrian_cqr,0.909,test2024,95.7,383.54
yulara,15,mondrian_cqr,0.75,selection2023H2,24.33,227.52
yulara,15,mondrian_cqr,0.775,selection2023H2,20.06,175.97
yulara,15,mondrian_cqr,0.8,selection2023H2,19.58,165.22
yulara,15,mondrian_cqr,0.825,selection2023H2,21.98,178.64
yulara,15,mondrian_cqr,0.85,selection2023H2,26.13,197.63
yulara,15,mondrian_cqr,0.875,selection2023H2,36.24,250.9
yulara,15,mondrian_cqr,0.9,selection2023H2,49.52,308.26
yulara,15,mondrian_cqr,0.925,selection2023H2,65.1,368.47
yulara,15,mondrian_cqr,0.95,selection2023H2,93.29,471.93
yulara,30,cqr,0.75,test2024,61.71,513.86
yulara,30,cqr,0.775,test2024,57.02,468.43
yulara,30,cqr,0.8,test2024,57.54,431.79
yulara,30,cqr,0.825,test2024,62.99,397.62
yulara,30,cqr,0.85,test2024,72.81,386.98
yulara,30,cqr,0.875,test2024,87.74,420.47
yulara,30,cqr,0.9,test2024,107.77,463.66
yulara,30,cqr,0.925,test2024,137.82,531.59
yulara,30,cqr,0.95,test2024,180.52,615.59
yulara,30,cqr,0.909,test2024,117.36,485.31
yulara,30,cqr,0.75,selection2023H2,66.5,663.38
yulara,30,cqr,0.775,selection2023H2,57.96,567.8
yulara,30,cqr,0.8,selection2023H2,51.38,447.98
yulara,30,cqr,0.825,selection2023H2,46.75,362.27
yulara,30,cqr,0.85,selection2023H2,47.47,334.66
yulara,30,cqr,0.875,selection2023H2,53.58,338.33
yulara,30,cqr,0.9,selection2023H2,64.85,368.99
yulara,30,cqr,0.925,selection2023H2,84.0,443.42
yulara,30,cqr,0.95,selection2023H2,116.97,544.87
yulara,30,icp,0.75,test2024,431.59,2475.71
yulara,30,icp,0.775,test2024,407.46,2391.55
yulara,30,icp,0.8,test2024,371.48,2260.67
yulara,30,icp,0.825,test2024,319.05,2052.78
yulara,30,icp,0.85,test2024,251.29,1783.48
yulara,30,icp,0.875,test2024,166.85,1370.76
yulara,30,icp,0.9,test2024,95.68,855.57
yulara,30,icp,0.925,test2024,98.82,463.27
yulara,30,icp,0.95,test2024,192.33,425.67
yulara,30,icp,0.909,test2024,87.78,690.41
yulara,30,icp,0.75,selection2023H2,318.76,2375.99
yulara,30,icp,0.775,selection2023H2,293.93,2254.4
yulara,30,icp,0.8,selection2023H2,255.06,2044.77
yulara,30,icp,0.825,selection2023H2,190.98,1678.56
yulara,30,icp,0.85,selection2023H2,125.44,1290.89
yulara,30,icp,0.875,selection2023H2,86.63,927.08
yulara,30,icp,0.9,selection2023H2,88.68,636.81
yulara,30,icp,0.925,selection2023H2,131.34,331.06
yulara,30,icp,0.95,selection2023H2,236.62,436.86
yulara,30,mondrian,0.75,test2024,148.62,1212.94
