bucket,n,PICP,width,method,horizon_min
2024-06,2983,0.8193094200469326,173.71908128133762,mondrian_cqr,5
2024-07,3163,0.797344293392349,174.9272809846081,mondrian_cqr,5
2024-08,2399,0.8841183826594414,120.34547255328792,mondrian_cqr,5
2024-09,3575,0.9127272727272727,190.7962213410415,mondrian_cqr,5
2024-10,3749,0.9501200320085356,200.91049017265328,mondrian_cqr,5
2024-11,3193,0.9404948324459755,292.4084742339422,mondrian_cqr,5
2024-12,3341,0.9524094582460341,238.47541251260967,mondrian_cqr,5
2024-01,3722,0.9110693175711982,366.64038261981665,aci,5
2024-02,3119,0.9361974991984611,227.30619551179436,aci,5
2024-03,3763,0.9170874302418284,314.77851892575933,aci,5
2024-04,3258,0.9097605893186004,148.48220090635849,aci,5
2024-05,3167,0.9005367856015156,191.85524051567822,aci,5
2024-06,2983,0.903117666778411,196.32625360674493,aci,5
2024-07,3163,0.900094846664559,199.17313314060624,aci,5
2024-08,2399,0.9178824510212589,133.54334892312346,aci,5
2024-09,3575,0.9174825174825175,237.9786724774421,aci,5
2024-10,3749,0.9271805814883969,248.68616132009,aci,5
2024-11,3193,0.9135609145004697,321.4275632935594,aci,5
2024-12,3341,0.9320562705776714,256.1286222848797,aci,5
2024-01,3722,0.9046211714132187,354.5654170515823,aci_regime,5
2024-02,3119,0.9345944212888746,235.9874117577384,aci_regime,5
2024-03,3763,0.9085835769332979,279.40116798624393,aci_regime,5
2024-04,3258,0.9002455494168201,152.12458065615814,aci_regime,5
2024-05,3167,0.8920113672245027,160.85207065893775,aci_regime,5
2024-06,2983,0.8960777740529668,182.74681879731267,aci_regime,5
2024-07,3163,0.8877647802718938,186.68213897739423,aci_regime,5
2024-08,2399,0.901625677365569,106.9667435817173,aci_regime,5
2024-09,3575,0.906013986013986,228.91626823673363,aci_regime,5
2024-10,3749,0.9279807948786343,231.46233053737916,aci_regime,5
2024-11,3193,0.9082367679298465,322.4450490450819,aci_regime,5
2024-12,3341,0.9266686620772224,250.1139199892443,aci_regime,5
2024-01,3381,0.8068618751848565,392.78112065157376,icp,60
2024-02,2838,0.8935870331219169,395.67409242453823,icp,60
2024-03,3424,0.7835864485981309,387.44022526273056,icp,60
2024-04,2921,0.9585758301951387,395.928332250302,icp,60
2024-05,2837,0.9298554811420514,393.0158917981241,icp,60
2024-06,2651,0.926820067898906,388.01076769203985,icp,60
2024-07,2822,0.9287739192062368,394.934078477039,icp,60
2024-08,2091,0.9478718316594931,391.6959423584352,icp,60
2024-09,3245,0.8693374422187982,392.2778817636607,icp,60
2024-10,3408,0.8703051643192489,391.9494174434425,icp,60
2024-11,2831,0.7975980219003885,388.16383983286676,icp,60
2024-12,2975,0.8211764705882353,391.568819080159,icp,60
2024-01,3381,0.9080153800650695,636.4654623035876,icp_norm,60
2024-02,2838,0.9415081042988019,620.4675070741278,icp_norm,60
2024-03,3424,0.8714953271028038,561.6253485457637,icp_norm,60
2024-04,2921,0.9147552208147894,501.227913803541,icp_norm,60
2024-05,2837,0.8526612618963694,436.71243206926874,icp_norm,60
2024-06,2651,0.8513768389287062,392.816849804957,icp_norm,60
2024-07,2822,0.8359319631467045,419.08903929240915,icp_norm,60
2024-08,2091,0.8904830224772836,463.5044293984162,icp_norm,60
2024-09,3245,0.8942989214175655,545.9966800144142,icp_norm,60
2024-10,3408,0.9330985915492958,599.0237601965578,icp_norm,60
2024-11,2831,0.8890851289297068,615.375209915839,icp_norm,60
2024-12,2975,0.9230252100840336,636.0536836153904,icp_norm,60
2024-01,3381,0.8500443655723159,428.47451204925727,mondrian,60
2024-02,2838,0.9136715997181113,309.62876656584336,mondrian,60
2024-03,3424,0.8583528037383178,415.7670474385969,mondrian,60
2024-04,2921,0.938377268058884,270.13737719489615,mondrian,60
2024-05,2837,0.924920690870638,269.89425063428115,mondrian,60
2024-06,2651,0.926820067898906,299.54776805128347,mondrian,60
2024-07,2822,0.9177888022678952,275.7323796790675,mondrian,60
2024-08,2091,0.9588713534194165,244.98191370823085,mondrian,60
2024-09,3245,0.8942989214175655,355.5557643225098,mondrian,60
2024-10,3408,0.8961267605633803,353.2937480269918,mondrian,60
2024-11,2831,0.8481102084069233,460.5138550048718,mondrian,60
2024-12,2975,0.8769747899159663,424.4137282512186,mondrian,60
2024-01,3381,0.9485359361135759,478.113504029009,cqr,60
2024-02,2838,0.9573643410852714,303.43965094189457,cqr,60
2024-03,3424,0.9147196261682243,486.6013072458488,cqr,60
