method,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
mondrian,15,0.9,transitional,15843,0.8971,-0.0029,0.3369,736.77
mondrian,15,0.9,cloudy,3976,0.8765,-0.0235,0.1477,452.64
cqr,15,0.9,all,43439,0.8992,-0.0008,0.1477,314.42
cqr,15,0.9,clear,23620,0.9087,0.0087,0.0561,148.89
cqr,15,0.9,transitional,15843,0.8828,-0.0172,0.2818,545.77
cqr,15,0.9,cloudy,3976,0.9079,0.0079,0.1926,375.88
mondrian_cqr,15,0.9,all,43439,0.9001,0.0001,0.1485,314.18
mondrian_cqr,15,0.9,clear,23620,0.9062,0.0062,0.0559,148.86
mondrian_cqr,15,0.9,transitional,15843,0.89,-0.01,0.2847,545.2
mondrian_cqr,15,0.9,cloudy,3976,0.9037,0.0037,0.1916,375.79
aci,15,0.9,all,43439,0.9281,0.0281,0.1971,390.85
aci,15,0.9,clear,23620,0.9338,0.0338,0.0797,185.95
aci,15,0.9,transitional,15843,0.9216,0.0216,0.388,704.65
aci,15,0.9,cloudy,3976,0.9203,0.0203,0.1774,357.68
icp,15,0.95,all,43439,0.9367,-0.0133,0.2894,739.17
icp,15,0.95,clear,23620,0.9886,0.0386,0.3197,521.85
icp,15,0.95,transitional,15843,0.8515,-0.0985,0.2855,1104.08
icp,15,0.95,cloudy,3976,0.9676,0.0176,0.2713,576.12
mondrian,15,0.95,all,43439,0.9429,-0.0071,0.2219,571.2
mondrian,15,0.95,clear,23620,0.9379,-0.0121,0.0874,369.59
mondrian,15,0.95,transitional,15843,0.9511,0.0011,0.4366,865.9
mondrian,15,0.95,cloudy,3976,0.9404,-0.0096,0.214,594.61
cqr,15,0.95,all,43439,0.9469,-0.0031,0.1848,379.01
cqr,15,0.95,clear,23620,0.9517,0.0017,0.0816,208.44
cqr,15,0.95,transitional,15843,0.939,-0.011,0.3313,609.36
cqr,15,0.95,cloudy,3976,0.9505,0.0005,0.264,474.41
mondrian_cqr,15,0.95,all,43439,0.948,-0.002,0.1868,378.51
mondrian_cqr,15,0.95,clear,23620,0.9483,-0.0017,0.0807,208.44
mondrian_cqr,15,0.95,transitional,15843,0.9474,-0.0026,0.3383,607.98
mondrian_cqr,15,0.95,cloudy,3976,0.9484,-0.0016,0.2627,474.43
aci,15,0.95,all,43439,0.9712,0.0212,0.2802,519.22
aci,15,0.95,clear,23620,0.9767,0.0267,0.1566,309.78
aci,15,0.95,transitional,15843,0.9648,0.0148,0.4928,847.11
aci,15,0.95,cloudy,3976,0.9645,0.0145,0.2459,456.96
icp,30,0.8,all,42355,0.7486,-0.0514,0.1052,479.21
icp,30,0.8,clear,23493,0.9412,0.1412,0.1089,232.53
icp,30,0.8,transitional,14985,0.4685,-0.3315,0.1051,864.39
icp,30,0.8,cloudy,3877,0.6644,-0.1356,0.1113,485.26
mondrian,30,0.8,all,42355,0.7839,-0.0161,0.122,373.42
mondrian,30,0.8,clear,23493,0.7889,-0.0111,0.0303,179.29
mondrian,30,0.8,transitional,14985,0.7828,-0.0172,0.263,657.19
mondrian,30,0.8,cloudy,3877,0.7581,-0.0419,0.1498,452.99
cqr,30,0.8,all,42355,0.8059,0.0059,0.1296,295.57
cqr,30,0.8,clear,23493,0.8197,0.0197,0.0419,133.25
cqr,30,0.8,transitional,14985,0.7842,-0.0158,0.2565,524.14
cqr,30,0.8,cloudy,3877,0.8068,0.0068,0.1936,395.72
mondrian_cqr,30,0.8,all,42355,0.8064,0.0064,0.1296,295.6
mondrian_cqr,30,0.8,clear,23493,0.8195,0.0195,0.0419,133.25
mondrian_cqr,30,0.8,transitional,14985,0.7826,-0.0174,0.2562,524.19
mondrian_cqr,30,0.8,cloudy,3877,0.8182,0.0182,0.1953,395.87
aci,30,0.8,all,42355,0.8332,0.0332,0.1457,311.66
aci,30,0.8,clear,23493,0.8346,0.0346,0.0495,137.47
aci,30,0.8,transitional,14985,0.8332,0.0332,0.295,574.76
aci,30,0.8,cloudy,3877,0.8251,0.0251,0.1741,350.28
icp,30,0.9,all,42355,0.8728,-0.0272,0.2157,650.53
icp,30,0.9,clear,23493,0.9752,0.0752,0.225,410.24
icp,30,0.9,transitional,14985,0.7103,-0.1897,0.2151,1041.18
icp,30,0.9,cloudy,3877,0.8798,-0.0202,0.2175,596.68
mondrian,30,0.9,all,42355,0.8843,-0.0157,0.179,502.61
mondrian,30,0.9,clear,23493,0.8792,-0.0208,0.054,295.19
mondrian,30,0.9,transitional,14985,0.8922,-0.0078,0.3707,804.36
mondrian,30,0.9,cloudy,3877,0.8847,-0.0153,0.2226,593.14
cqr,30,0.9,all,42355,0.8971,-0.0029,0.1705,368.98
cqr,30,0.9,clear,23493,0.9039,0.0039,0.0664,197.39
cqr,30,0.9,transitional,14985,0.8864,-0.0136,0.3177,606.79
cqr,30,0.9,cloudy,3877,0.8976,-0.0024,0.2656,489.58
mondrian_cqr,30,0.9,all,42355,0.8977,-0.0023,0.1714,368.83
mondrian_cqr,30,0.9,clear,23493,0.9005,0.0005,0.066,197.38
mondrian_cqr,30,0.9,transitional,14985,0.892,-0.008,0.3202,606.39
mondrian_cqr,30,0.9,cloudy,3877,0.903,0.003,0.2677,489.6
aci,30,0.9,all,42355,0.9317,0.0317,0.2098,408.55
aci,30,0.9,clear,23493,0.9376,0.0376,0.0927,218.63
aci,30,0.9,transitional,14985,0.9256,0.0256,0.3965,701.59
aci,30,0.9,cloudy,3877,0.9193,0.0193,0.2324,426.78
icp,30,0.95,all,42355,0.936,-0.014,0.325,813.0
icp,30,0.95,clear,23493,0.9864,0.0364,0.3419,596.19
icp,30,0.95,transitional,14985,0.8552,-0.0948,0.3239,1176.11
icp,30,0.95,cloudy,3877,0.9433,-0.0067,0.3107,723.25
mondrian,30,0.95,all,42355,0.9378,-0.0122,0.245,650.89
mondrian,30,0.95,clear,23493,0.9317,-0.0183,0.0979,457.15
mondrian,30,0.95,transitional,14985,0.9479,-0.0021,0.4732,931.75
mondrian,30,0.95,cloudy,3877,0.9353,-0.0147,0.2956,739.41
cqr,30,0.95,all,42355,0.945,-0.005,0.212,448.25
cqr,30,0.95,clear,23493,0.9477,-0.0023,0.1006,279.59
cqr,30,0.95,transitional,14985,0.9407,-0.0093,0.369,679.14
cqr,30,0.95,cloudy,3877,0.9453,-0.0047,0.3234,577.9
mondrian_cqr,30,0.95,all,42355,0.9452,-0.0048,0.2134,448.07
mondrian_cqr,30,0.95,clear,23493,0.9435,-0.0065,0.0995,279.72
mondrian_cqr,30,0.95,transitional,14985,0.9455,-0.0045,0.3726,678.41
mondrian_cqr,30,0.95,cloudy,3877,0.9549,0.0049,0.332,577.86
aci,30,0.95,all,42355,0.9732,0.0232,0.2943,532.01
aci,30,0.95,clear,23493,0.9788,0.0288,0.1771,347.21
aci,30,0.95,transitional,14985,0.9664,0.0164,0.4902,825.04
aci,30,0.95,cloudy,3877,0.9652,0.0152,0.3028,519.21
