site,horizon_min,method,variant,nominal,scope,n,PICP,PICP_ci_lo,PICP_ci_hi,ACE,ACE_ci_lo,ACE_ci_hi,covers_nominal
asp,60,mondrian,static,0.95,transitional,13998,0.9466,0.9375,0.9556,-0.0034,-0.0125,0.0056,yes
asp,60,cqr,static,0.95,all,40239,0.9463,0.9409,0.9516,-0.0037,-0.0091,0.0016,yes
asp,60,cqr,static,0.95,clear,22594,0.9515,0.9444,0.9582,0.0015,-0.0056,0.0082,yes
asp,60,cqr,static,0.95,cloudy,3647,0.955,0.943,0.966,0.005,-0.007,0.016,yes
asp,60,cqr,static,0.95,transitional,13998,0.9356,0.9265,0.9443,-0.0144,-0.0235,-0.0057,no
asp,60,mondrian_cqr,static,0.95,all,40239,0.9466,0.9412,0.9519,-0.0034,-0.0088,0.0019,yes
asp,60,mondrian_cqr,static,0.95,clear,22594,0.951,0.9439,0.9577,0.001,-0.0061,0.0077,yes
asp,60,mondrian_cqr,static,0.95,cloudy,3647,0.9553,0.9433,0.9662,0.0053,-0.0067,0.0162,yes
asp,60,mondrian_cqr,static,0.95,transitional,13998,0.9373,0.9283,0.9459,-0.0127,-0.0217,-0.0041,no
asp,60,aci,anticipative,0.95,all,40239,0.9755,0.9737,0.9773,0.0255,0.0237,0.0273,no
asp,60,aci,anticipative,0.95,clear,22594,0.9805,0.9777,0.9831,0.0305,0.0277,0.0331,no
asp,60,aci,anticipative,0.95,cloudy,3647,0.9682,0.9617,0.9741,0.0182,0.0117,0.0241,no
asp,60,aci,anticipative,0.95,transitional,13998,0.9693,0.967,0.9716,0.0193,0.017,0.0216,no
asp,60,aci_regime,anticipative,0.95,all,40239,0.9675,0.966,0.9692,0.0175,0.016,0.0192,no
asp,60,aci_regime,anticipative,0.95,clear,22594,0.9642,0.9616,0.9667,0.0142,0.0116,0.0167,no
asp,60,aci_regime,anticipative,0.95,cloudy,3647,0.9644,0.9572,0.9706,0.0144,0.0072,0.0206,no
asp,60,aci_regime,anticipative,0.95,transitional,13998,0.9738,0.9716,0.976,0.0238,0.0216,0.026,no
asp,60,aci,delayed,0.95,all,40239,0.9614,0.9577,0.9652,0.0114,0.0077,0.0152,no
asp,60,aci,delayed,0.95,clear,22594,0.9688,0.9629,0.9744,0.0188,0.0129,0.0244,no
asp,60,aci,delayed,0.95,cloudy,3647,0.9556,0.943,0.9669,0.0056,-0.007,0.0169,yes
asp,60,aci,delayed,0.95,transitional,13998,0.9509,0.9451,0.9567,0.0009,-0.0049,0.0067,yes
asp,60,aci_regime,delayed,0.95,all,40239,0.9364,0.9314,0.9414,-0.0136,-0.0186,-0.0086,no
asp,60,aci_regime,delayed,0.95,clear,22594,0.9271,0.9188,0.9349,-0.0229,-0.0312,-0.0151,no
asp,60,aci_regime,delayed,0.95,cloudy,3647,0.9353,0.9181,0.9494,-0.0147,-0.0319,-0.0006,no
asp,60,aci_regime,delayed,0.95,transitional,13998,0.9519,0.9458,0.9579,0.0019,-0.0042,0.0079,yes
asp,5,icp,static,0.8,all,44221,0.7553,0.7317,0.7786,-0.0447,-0.0683,-0.0214,no
asp,5,icp,static,0.8,clear,23683,0.9404,0.9299,0.9501,0.1404,0.1299,0.1501,no
asp,5,icp,static,0.8,cloudy,4020,0.8296,0.8004,0.8562,0.0296,0.0004,0.0562,no
asp,5,icp,static,0.8,transitional,16518,0.4718,0.4542,0.4916,-0.3282,-0.3458,-0.3084,no
asp,5,icp_norm,static,0.8,all,44221,0.7582,0.7368,0.7797,-0.0418,-0.0632,-0.0203,no
asp,5,icp_norm,static,0.8,clear,23683,0.9478,0.9405,0.9545,0.1478,0.1405,0.1545,no
asp,5,icp_norm,static,0.8,cloudy,4020,0.8736,0.8478,0.8956,0.0736,0.0478,0.0956,no
asp,5,icp_norm,static,0.8,transitional,16518,0.4583,0.4419,0.4756,-0.3417,-0.3581,-0.3244,no
asp,5,mondrian,static,0.8,all,44221,0.7916,0.7789,0.8042,-0.0084,-0.0211,0.0042,yes
asp,5,mondrian,static,0.8,clear,23683,0.7921,0.7713,0.8115,-0.0079,-0.0287,0.0115,yes
asp,5,mondrian,static,0.8,cloudy,4020,0.7883,0.7577,0.8165,-0.0117,-0.0423,0.0165,yes
asp,5,mondrian,static,0.8,transitional,16518,0.7918,0.7761,0.8077,-0.0082,-0.0239,0.0077,yes
asp,5,cqr,static,0.8,all,44221,0.8062,0.7996,0.8127,0.0062,-0.0004,0.0127,yes
asp,5,cqr,static,0.8,clear,23683,0.8156,0.8086,0.8223,0.0156,0.0086,0.0223,no
asp,5,cqr,static,0.8,cloudy,4020,0.8326,0.8071,0.8568,0.0326,0.0071,0.0568,no
asp,5,cqr,static,0.8,transitional,16518,0.7864,0.7763,0.7965,-0.0136,-0.0237,-0.0035,no
asp,5,mondrian_cqr,static,0.8,all,44221,0.8067,0.8003,0.813,0.0067,0.0003,0.013,no
asp,5,mondrian_cqr,static,0.8,clear,23683,0.8091,0.8021,0.8159,0.0091,0.0021,0.0159,no
asp,5,mondrian_cqr,static,0.8,cloudy,4020,0.8224,0.7962,0.8476,0.0224,-0.0038,0.0476,yes
asp,5,mondrian_cqr,static,0.8,transitional,16518,0.7993,0.7892,0.8094,-0.0007,-0.0108,0.0094,yes
asp,5,aci,anticipative,0.8,all,44221,0.8266,0.8243,0.8291,0.0266,0.0243,0.0291,no
asp,5,aci,anticipative,0.8,clear,23683,0.8398,0.8355,0.844,0.0398,0.0355,0.044,no
asp,5,aci,anticipative,0.8,cloudy,4020,0.8413,0.8292,0.8533,0.0413,0.0292,0.0533,no
asp,5,aci,anticipative,0.8,transitional,16518,0.8042,0.8,0.8082,0.0042,0.0,0.0082,yes
asp,5,aci_regime,anticipative,0.8,all,44221,0.8192,0.8165,0.8221,0.0192,0.0165,0.0221,no
asp,5,aci_regime,anticipative,0.8,clear,23683,0.7981,0.7933,0.8026,-0.0019,-0.0067,0.0026,yes
asp,5,aci_regime,anticipative,0.8,cloudy,4020,0.8132,0.7989,0.8256,0.0132,-0.0011,0.0256,yes
asp,5,aci_regime,anticipative,0.8,transitional,16518,0.8511,0.8465,0.8563,0.0511,0.0465,0.0563,no
asp,5,aci,delayed,0.8,all,44221,0.8266,0.8243,0.8291,0.0266,0.0243,0.0291,no
asp,5,aci,delayed,0.8,clear,23683,0.8398,0.8355,0.844,0.0398,0.0355,0.044,no
asp,5,aci,delayed,0.8,cloudy,4020,0.8413,0.8292,0.8533,0.0413,0.0292,0.0533,no
asp,5,aci,delayed,0.8,transitional,16518,0.8042,0.8,0.8082,0.0042,0.0,0.0082,yes
asp,5,aci_regime,delayed,0.8,all,44221,0.8192,0.8165,0.8221,0.0192,0.0165,0.0221,no
asp,5,aci_regime,delayed,0.8,clear,23683,0.7981,0.7933,0.8026,-0.0019,-0.0067,0.0026,yes
asp,5,aci_regime,delayed,0.8,cloudy,4020,0.8132,0.7989,0.8256,0.0132,-0.0011,0.0256,yes
asp,5,aci_regime,delayed,0.8,transitional,16518,0.8511,0.8465,0.8563,0.0511,0.0465,0.0563,no
asp,5,icp,static,0.9,all,44221,0.8766,0.862,0.891,-0.0234,-0.038,-0.009,no
asp,5,icp,static,0.9,clear,23683,0.978,0.9738,0.9818,0.078,0.0738,0.0818,no
asp,5,icp,static,0.9,cloudy,4020,0.9642,0.9527,0.9738,0.0642,0.0527,0.0738,no
asp,5,icp,static,0.9,transitional,16518,0.7098,0.6923,0.7278,-0.1902,-0.2077,-0.1722,no
asp,5,icp_norm,static,0.9,all,44221,0.8799,0.8677,0.8918,-0.0201,-0.0323,-0.0082,no
asp,5,icp_norm,static,0.9,clear,23683,0.9766,0.9737,0.9791,0.0766,0.0737,0.0791,no
asp,5,icp_norm,static,0.9,cloudy,4020,0.9754,0.9667,0.9822,0.0754,0.0667,0.0822,no
asp,5,icp_norm,static,0.9,transitional,16518,0.7181,0.7028,0.7333,-0.1819,-0.1972,-0.1667,no
asp,5,mondrian,static,0.9,all,44221,0.8912,0.8815,0.9006,-0.0088,-0.0185,0.0006,yes
asp,5,mondrian,static,0.9,clear,23683,0.8879,0.8714,0.903,-0.0121,-0.0286,0.003,yes
asp,5,mondrian,static,0.9,cloudy,4020,0.8846,0.8621,0.9047,-0.0154,-0.0379,0.0047,yes
asp,5,mondrian,static,0.9,transitional,16518,0.8974,0.8861,0.9088,-0.0026,-0.0139,0.0088,yes
asp,5,cqr,static,0.9,all,44221,0.903,0.8982,0.9077,0.003,-0.0018,0.0077,yes
asp,5,cqr,static,0.9,clear,23683,0.9105,0.9053,0.9156,0.0105,0.0053,0.0156,no
asp,5,cqr,static,0.9,cloudy,4020,0.9172,0.8994,0.9327,0.0172,-0.0006,0.0327,yes
asp,5,cqr,static,0.9,transitional,16518,0.8887,0.8812,0.896,-0.0113,-0.0188,-0.004,no
asp,5,mondrian_cqr,static,0.9,all,44221,0.9034,0.8988,0.908,0.0034,-0.0012,0.008,yes
asp,5,mondrian_cqr,static,0.9,clear,23683,0.9044,0.8989,0.9096,0.0044,-0.0011,0.0096,yes
asp,5,mondrian_cqr,static,0.9,cloudy,4020,0.9102,0.8915,0.9269,0.0102,-0.0085,0.0269,yes
asp,5,mondrian_cqr,static,0.9,transitional,16518,0.9004,0.8929,0.9076,0.0004,-0.0071,0.0076,yes
asp,5,aci,anticipative,0.9,all,44221,0.9253,0.9232,0.9275,0.0253,0.0232,0.0275,no
asp,5,aci,anticipative,0.9,clear,23683,0.9381,0.9349,0.941,0.0381,0.0349,0.041,no
asp,5,aci,anticipative,0.9,cloudy,4020,0.9361,0.9282,0.9435,0.0361,0.0282,0.0435,no
asp,5,aci,anticipative,0.9,transitional,16518,0.9043,0.9012,0.9073,0.0043,0.0012,0.0073,no
asp,5,aci_regime,anticipative,0.9,all,44221,0.9144,0.9125,0.9163,0.0144,0.0125,0.0163,no
asp,5,aci_regime,anticipative,0.9,clear,23683,0.9028,0.8994,0.9059,0.0028,-0.0006,0.0059,yes
asp,5,aci_regime,anticipative,0.9,cloudy,4020,0.9077,0.8985,0.9156,0.0077,-0.0015,0.0156,yes
asp,5,aci_regime,anticipative,0.9,transitional,16518,0.9327,0.9298,0.9359,0.0327,0.0298,0.0359,no
asp,5,aci,delayed,0.9,all,44221,0.9253,0.9232,0.9275,0.0253,0.0232,0.0275,no
