year,date,day_class,model,horizon_min,n,RMSE,MAE
2024,2024-10-03,overcast,persistence,5,124,127.91899801979676,81.7074056988441
2024,2024-10-03,overcast,smart_persistence,5,124,127.02230017758106,80.01462580300257
2024,2024-10-03,overcast,gbm,5,124,117.43422178853932,75.66674169834182
2024,2024-10-04,mixed,persistence,5,126,27.93807349284591,18.1839509634127
2024,2024-10-04,mixed,smart_persistence,5,126,23.63992977610585,7.715267942187907
2024,2024-10-04,mixed,gbm,5,126,23.024226753177327,8.712902689368576
2024,2024-10-05,mixed,persistence,5,114,15.31484442788494,13.720086083333332
2024,2024-10-05,mixed,smart_persistence,5,114,4.122771410367293,2.6474026131793584
2024,2024-10-05,mixed,gbm,5,114,4.725103787807722,3.182134840435394
2024,2024-10-06,mixed,persistence,5,116,18.145459060442416,16.08361118675493
2024,2024-10-06,mixed,smart_persistence,5,116,6.115128946964423,3.3275458483625417
2024,2024-10-06,mixed,gbm,5,116,5.922547591363196,4.235865313322376
2024,2024-10-07,mixed,persistence,5,125,45.83613743455359,28.0645578144
2024,2024-10-07,mixed,smart_persistence,5,125,43.41899109907386,20.043590317625817
2024,2024-10-07,mixed,gbm,5,125,39.16031463742456,21.37941070730461
2024,2024-10-08,mixed,persistence,5,128,16.384178608007787,14.546265383203126
2024,2024-10-08,mixed,smart_persistence,5,128,3.3264975160993733,2.505432375482548
2024,2024-10-08,mixed,gbm,5,128,3.9368290299877913,3.05048125931335
2024,2024-10-09,mixed,persistence,5,127,28.64633999213784,18.47451373047244
2024,2024-10-09,mixed,smart_persistence,5,127,23.414569449936472,7.594627496606887
2024,2024-10-09,mixed,gbm,5,127,20.67425579235343,8.455914945919334
2024,2024-10-10,mixed,persistence,5,129,35.32504985711377,19.41824761364341
2024,2024-10-10,mixed,smart_persistence,5,129,31.257095720722084,10.05047198531704
2024,2024-10-10,mixed,gbm,5,129,28.64178531244504,11.848619226895506
2024,2024-10-11,mixed,persistence,5,129,123.53258002586888,75.70597996279069
2024,2024-10-11,mixed,smart_persistence,5,129,122.70462102257189,74.02124291101147
2024,2024-10-11,mixed,gbm,5,129,118.64219040338308,78.37570296441521
2024,2024-10-12,mixed,persistence,5,129,85.14508177935824,53.350459417364334
2024,2024-10-12,mixed,smart_persistence,5,129,83.47094984944232,49.59998992169543
2024,2024-10-12,mixed,gbm,5,129,85.60700704459744,58.15299805053498
2024,2024-10-13,mixed,persistence,5,127,141.30613482053957,65.77131292889763
