site,method,variant,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
asp,aci,delayed,5,0.9,cloudy,4020,0.9361,0.0361,0.1366,194.89
asp,aci_regime,delayed,5,0.9,all,44221,0.9144,0.0144,0.152,313.34
asp,aci_regime,delayed,5,0.9,clear,23683,0.9028,0.0028,0.0621,142.22
asp,aci_regime,delayed,5,0.9,transitional,16518,0.9327,0.0327,0.3037,585.21
asp,aci_regime,delayed,5,0.9,cloudy,4020,0.9077,0.0077,0.1222,204.31
asp,aci_g0.01,delayed,5,0.9,all,44221,0.9287,0.0287,0.1398,344.69
asp,aci_g0.02,delayed,5,0.9,all,44221,0.9342,0.0342,0.1412,323.6
asp,aci_g0.05,delayed,5,0.9,all,44221,0.9253,0.0253,0.1526,321.53
asp,aci_g0.1,delayed,5,0.9,all,44221,0.9147,0.0147,0.1783,352.18
asp,icp,static,5,0.95,all,44221,0.9402,-0.0098,0.2125,599.1
asp,icp,static,5,0.95,clear,23683,0.9908,0.0408,0.2349,377.46
asp,icp,static,5,0.95,transitional,16518,0.856,-0.094,0.2084,980.47
asp,icp,static,5,0.95,cloudy,4020,0.9888,0.0388,0.2798,337.89
asp,icp_norm,static,5,0.95,all,44221,0.9391,-0.0109,0.2152,529.65
asp,icp_norm,static,5,0.95,clear,23683,0.9878,0.0378,0.2457,382.09
asp,icp_norm,static,5,0.95,transitional,16518,0.8571,-0.0929,0.2005,789.45
asp,icp_norm,static,5,0.95,cloudy,4020,0.9891,0.0391,0.2837,331.44
asp,mondrian,static,5,0.95,all,44221,0.9423,-0.0077,0.1653,439.83
asp,mondrian,static,5,0.95,clear,23683,0.9375,-0.0125,0.0482,241.58
asp,mondrian,static,5,0.95,transitional,16518,0.9505,0.0005,0.3569,762.21
asp,mondrian,static,5,0.95,cloudy,4020,0.9371,-0.0129,0.1275,283.17
asp,cqr,static,5,0.95,all,44221,0.9457,-0.0043,0.1345,287.16
asp,cqr,static,5,0.95,clear,23683,0.9517,0.0017,0.05,126.84
asp,cqr,static,5,0.95,transitional,16518,0.9351,-0.0149,0.2549,516.08
asp,cqr,static,5,0.95,cloudy,4020,0.9547,0.0047,0.2308,291.0
asp,mondrian_cqr,static,5,0.95,all,44221,0.9468,-0.0032,0.1369,286.49
asp,mondrian_cqr,static,5,0.95,clear,23683,0.945,-0.005,0.0491,126.88
asp,mondrian_cqr,static,5,0.95,transitional,16518,0.9482,-0.0018,0.2626,514.25
asp,mondrian_cqr,static,5,0.95,cloudy,4020,0.9515,0.0015,0.2297,290.93
asp,cqr,rearranged,5,0.95,all,44221,0.947,-0.003,0.1345,286.29
asp,cqr,rearranged,5,0.95,clear,23683,0.9528,0.0028,0.0499,126.23
asp,cqr,rearranged,5,0.95,transitional,16518,0.9361,-0.0139,0.2548,514.93
asp,cqr,rearranged,5,0.95,cloudy,4020,0.9577,0.0077,0.2322,289.85
asp,mondrian_cqr,rearranged,5,0.95,all,44221,0.9486,-0.0014,0.1371,285.64
asp,mondrian_cqr,rearranged,5,0.95,clear,23683,0.9479,-0.0021,0.0493,126.22
asp,mondrian_cqr,rearranged,5,0.95,transitional,16518,0.949,-0.001,0.2627,513.23
asp,mondrian_cqr,rearranged,5,0.95,cloudy,4020,0.9515,0.0015,0.2303,289.64
asp,aci,anticipative,5,0.95,all,44221,0.9687,0.0187,0.2271,437.74
asp,aci,anticipative,5,0.95,clear,23683,0.9772,0.0272,0.1067,216.07
asp,aci,anticipative,5,0.95,transitional,16518,0.9552,0.0052,0.4302,794.72
asp,aci,anticipative,5,0.95,cloudy,4020,0.9741,0.0241,0.2116,276.91
asp,aci_regime,anticipative,5,0.95,all,44221,0.959,0.009,0.2096,411.08
asp,aci_regime,anticipative,5,0.95,clear,23683,0.9531,0.0031,0.0931,207.57
asp,aci_regime,anticipative,5,0.95,transitional,16518,0.9689,0.0189,0.408,734.19
asp,aci_regime,anticipative,5,0.95,cloudy,4020,0.9525,0.0025,0.1723,282.3
asp,aci_g0.01,anticipative,5,0.95,all,44221,0.9691,0.0191,0.2272,469.1
asp,aci_g0.02,anticipative,5,0.95,all,44221,0.9721,0.0221,0.2247,445.43
asp,aci_g0.05,anticipative,5,0.95,all,44221,0.9687,0.0187,0.2271,437.74
asp,aci_g0.1,anticipative,5,0.95,all,44221,0.9619,0.0119,0.247,461.45
asp,aci,delayed,5,0.95,all,44221,0.9687,0.0187,0.2271,437.74
asp,aci,delayed,5,0.95,clear,23683,0.9772,0.0272,0.1067,216.07
asp,aci,delayed,5,0.95,transitional,16518,0.9552,0.0052,0.4302,794.72
asp,aci,delayed,5,0.95,cloudy,4020,0.9741,0.0241,0.2116,276.91
asp,aci_regime,delayed,5,0.95,all,44221,0.959,0.009,0.2096,411.08
asp,aci_regime,delayed,5,0.95,clear,23683,0.9531,0.0031,0.0931,207.57
asp,aci_regime,delayed,5,0.95,transitional,16518,0.9689,0.0189,0.408,734.19
asp,aci_regime,delayed,5,0.95,cloudy,4020,0.9525,0.0025,0.1723,282.3
asp,aci_g0.01,delayed,5,0.95,all,44221,0.9691,0.0191,0.2272,469.1
asp,aci_g0.02,delayed,5,0.95,all,44221,0.9721,0.0221,0.2247,445.43
asp,aci_g0.05,delayed,5,0.95,all,44221,0.9687,0.0187,0.2271,437.74
asp,aci_g0.1,delayed,5,0.95,all,44221,0.9619,0.0119,0.247,461.45
asp,icp,static,60,0.8,all,40239,0.7515,-0.0485,0.1324,536.26
asp,icp,static,60,0.8,clear,22594,0.9355,0.1355,0.1368,295.79
asp,icp,static,60,0.8,transitional,13998,0.4876,-0.3124,0.1326,904.16
asp,icp,static,60,0.8,cloudy,3647,0.6246,-0.1754,0.1493,613.92
asp,icp_norm,static,60,0.8,all,40239,0.7609,-0.0391,0.168,498.21
asp,icp_norm,static,60,0.8,clear,22594,0.9274,0.1274,0.1748,328.71
asp,icp_norm,static,60,0.8,transitional,13998,0.5137,-0.2863,0.1671,763.22
