site,horizon_min,policy,protocol,protocol_label,theta,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,vc_mean_ci_lo,vc_mean_ci_hi,vc_cvar_ci_lo,vc_cvar_ci_hi,cvar_ci_lo,cvar_ci_hi
asp,30,cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.8,76.44,524.85,0.8316,0.7758,,,,,,
asp,30,cqr,A,A: theta selected on 2023-H2 (mean cost),0.825,81.44,498.04,0.8206,0.7873,0.7907,0.8468,0.736,0.8315,395.147,598.8541
asp,30,cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.75,80.11,583.33,0.8235,0.7509,,,,,,
asp,30,cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.825,81.44,498.04,0.8206,0.7873,0.7907,0.8468,0.736,0.8315,395.147,598.8541
asp,30,cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,132.38,527.16,0.7084,0.7748,0.6661,0.7452,0.7378,0.8071,480.0941,574.7342
asp,30,icp,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.9,103.86,821.3,0.7712,0.6492,0.7389,0.8027,0.6052,0.7046,641.3822,981.8501
asp,30,icp,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.9,103.86,821.3,0.7712,0.6492,,,,,,
asp,30,icp,A,A: theta selected on 2023-H2 (mean cost),0.875,148.78,1168.49,0.6723,0.5009,0.6375,0.7099,0.4651,0.5478,969.9689,1354.0445
asp,30,icp,A_swapped,A-swapped: theta selected on 2023-H1,0.925,115.28,488.97,0.7461,0.7912,,,,,,
asp,30,icp,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.925,115.28,488.97,0.7461,0.7912,0.7051,0.7788,0.754,0.8303,375.2976,597.9339
asp,30,icp,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,97.99,687.44,0.7842,0.7064,0.752,0.8134,0.6645,0.7596,525.3123,835.4228
asp,30,mondrian,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,92.15,849.72,0.797,0.6371,0.762,0.8315,0.5694,0.7123,627.0142,1055.1039
asp,30,mondrian,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.825,79.81,723.85,0.8242,0.6908,,,,,,
asp,30,mondrian,A,A: theta selected on 2023-H2 (mean cost),0.85,80.89,621.03,0.8218,0.7348,0.7902,0.851,0.6566,0.8083,427.3331,828.3867
asp,30,mondrian,A_swapped,A-swapped: theta selected on 2023-H1,0.825,79.81,723.85,0.8242,0.6908,,,,,,
